"id","serverTime","userTime","gameVersion","playerId","playerBirthdate","playerRegion","playerCountry","playerGender","playerExternalId","playerCustomData","type","coordinates","section","customData.biobrick","customData.platform","customData.localplayerguid","customData.devices","customData.sametab","customData.device","customData.slot","customData.energy","customData.option","customData.sound","customData.dnabit","customData.duration","customData.nanobot","customData.count","customData.plasmid","customData.language","customData.total","customData.controls","customData.message","customData.chapter","customData.life","customData.source"
"8301a052-99ed-4e1c-a27d-b7a6a8540902","2017-05-13T09:43:11.377Z","2017-05-13T09:43:10.397Z","915953b4-f9e1-41ca-acc4-4e4e90667102","2aea4736-0423-4fe0-93e3-a6b4958a9a8c",,,,,,,"add","[-871, -949]","tutorial1.Checkpoint08","""PRCONS""",,,"""slot0[PRCONS:RBS1:FLUO1:DTER], slot1[PRCONS:RBS2:MOV:DTER]""",,,,"""100""",,,,,,,,,,,,,"""100""",
"62997db9-ab04-472c-8943-2f750d22cfb3","2017-05-13T09:43:11.379Z","2017-05-13T09:43:10.394Z","915953b4-f9e1-41ca-acc4-4e4e90667102","2aea4736-0423-4fe0-93e3-a6b4958a9a8c",,,,,,,"craft","[-871, -949]","tutorial1.Checkpoint08",,,,"""slot0[PRCONS:RBS1:FLUO1:DTER], slot1[PRCONS:RBS2:MOV:DTER]""",,"""PRCONS:RBS1:FLUO1:DTER""",,"""100""",,,,,,,,,,,,,"""100""",
"f1997182-fd5c-494a-b30c-be7dc51d00df","2017-05-13T09:43:34.322Z","2017-05-13T09:43:33.344Z","915953b4-f9e1-41ca-acc4-4e4e90667102","2aea4736-0423-4fe0-93e3-a6b4958a9a8c",,,,,,,"death","[-834, -911]","tutorial1.Checkpoint08",,,,"""slot0[PRCONS:RBS1:FLUO1:DTER], slot1[PRCONS:RBS2:MOV:DTER]""",,,,"""100""",,,,,,,,,,,,,"""0""","""MINE"""
"1d16d97a-19ac-40a1-be7a-a9df8791fba3","2017-05-13T09:43:52.373Z","2017-05-13T09:43:51.389Z","915953b4-f9e1-41ca-acc4-4e4e90667102","2aea4736-0423-4fe0-93e3-a6b4958a9a8c",,,,,,,"reach","[-690, -926]","tutorial1.Checkpoint09",,,,"""slot0[PRCONS:RBS1:FLUO1:DTER], slot1[PRCONS:RBS2:MOV:DTER]""",,,,"""100""",,,,,,,,,,,,,"""100""",
"aac5b36c-1363-42f0-b04e-c3c6d50dea6e","2017-05-13T09:44:22.120Z","2017-05-13T09:44:21.138Z","915953b4-f9e1-41ca-acc4-4e4e90667102","2aea4736-0423-4fe0-93e3-a6b4958a9a8c",,,,,,,"death","[-665, -1023]","tutorial1.Checkpoint09",,,,"""slot0[PRCONS:RBS1:FLUO1:DTER], slot1[PRCONS:RBS2:MOV:DTER]""",,,,"""100""",,,,,,,,,,,,,"""0""","""MINE"""
"4f92a6b4-ad5b-4b23-8103-9496927bc798","2017-05-13T09:44:34.711Z","2017-05-13T09:44:33.728Z","915953b4-f9e1-41ca-acc4-4e4e90667102","2aea4736-0423-4fe0-93e3-a6b4958a9a8c",,,,,,,"pickup","[-696, -1023]","tutorial1.Checkpoint09",,,,,,,,,,,,,"""Nanobot5""","""1""",,,,,,,,
"145d6128-bc6f-41bf-b385-01a63966757c","2017-05-13T09:44:51.793Z","2017-05-13T09:44:50.811Z","915953b4-f9e1-41ca-acc4-4e4e90667102","2aea4736-0423-4fe0-93e3-a6b4958a9a8c",,,,,,,"reach","[-590, -977]","tutorial1.Checkpoint10",,,,"""slot0[PRCONS:RBS1:FLUO1:DTER], slot1[PRCONS:RBS2:MOV:DTER]""",,,,"""100""",,,,,,,,,,,,,"""100""",
"81d82bbe-b8f6-45c8-a780-fe255ea3d189","2017-05-13T09:44:51.793Z","2017-05-13T09:44:50.813Z","915953b4-f9e1-41ca-acc4-4e4e90667102","2aea4736-0423-4fe0-93e3-a6b4958a9a8c",,,,,,,"newfurthest","[-590, -977]","tutorial1.Checkpoint10",,,,"""slot0[PRCONS:RBS1:FLUO1:DTER], slot1[PRCONS:RBS2:MOV:DTER]""",,,,"""100""",,,,"null",,,,,,,,"""8""","""100""",
"338d7dae-6c29-4f7b-9ee9-df0b9115f02a","2017-05-13T09:44:57.511Z","2017-05-13T09:44:56.528Z","915953b4-f9e1-41ca-acc4-4e4e90667102","2aea4736-0423-4fe0-93e3-a6b4958a9a8c",,,,,,,"pickup","[-524, -1003]","tutorial1.Checkpoint10",,,,"""slot0[PRCONS:RBS1:FLUO1:DTER], slot1[PRCONS:RBS2:MOV:DTER]""",,,,"""100""",,,,,,,"""Plasmid (1)""",,,,,,"""14""",
"8dda2b0e-2bd9-482e-b52f-e5ae206a7a12","2017-05-13T09:44:59.246Z","2017-05-13T09:44:58.265Z","915953b4-f9e1-41ca-acc4-4e4e90667102","2aea4736-0423-4fe0-93e3-a6b4958a9a8c",,,,,,,"death","[-524, -1006]","tutorial1.Checkpoint10",,,,"""slot0[PRCONS:RBS1:FLUO1:DTER], slot1[PRCONS:RBS2:MOV:DTER]""",,,,"""100""",,,,,,,,,,,,,"""0""","""AMPICILLIN"""
"dca642cf-18be-41d2-9457-610d6a3cd01a","2017-05-13T09:45:12.251Z","2017-05-13T09:45:11.268Z","915953b4-f9e1-41ca-acc4-4e4e90667102","2aea4736-0423-4fe0-93e3-a6b4958a9a8c",,,,,,,"reach","[-433, -971]","tutorial1.Checkpoint11",,,,"""slot0[PRCONS:RBS1:FLUO1:DTER], slot1[PRCONS:RBS2:MOV:DTER]""",,,,"""100""",,,,,,,,,,,,,"""100""",
"6f32f763-ee42-4ca0-8501-1edd1421293c","2017-05-13T09:45:20.567Z","2017-05-13T09:45:19.585Z","915953b4-f9e1-41ca-acc4-4e4e90667102","2aea4736-0423-4fe0-93e3-a6b4958a9a8c",,,,,,,"death","[-385, -966]","tutorial1.Checkpoint11",,,,"""slot0[PRCONS:RBS1:FLUO1:DTER], slot1[PRCONS:RBS2:MOV:DTER]""",,,,"""100""",,,,,,,,,,,,,"""0""","""MINE"""
"ac578f94-95ad-438e-86ce-68647281cd95","2017-05-13T09:45:27.613Z","2017-05-13T09:45:26.634Z","915953b4-f9e1-41ca-acc4-4e4e90667102","2aea4736-0423-4fe0-93e3-a6b4958a9a8c",,,,,,,"reach","[-349, -940]","tutorial1.Checkpoint13",,,,"""slot0[PRCONS:RBS1:FLUO1:DTER], slot1[PRCONS:RBS2:MOV:DTER]""",,,,"""100""",,,,,,,,,,,,,"""29""",
"f4e61f78-5ff3-4cf3-9e4d-c285c9866d62","2017-05-13T09:45:27.616Z","2017-05-13T09:45:26.635Z","915953b4-f9e1-41ca-acc4-4e4e90667102","2aea4736-0423-4fe0-93e3-a6b4958a9a8c",,,,,,,"newfurthest","[-349, -940]","tutorial1.Checkpoint13",,,,"""slot0[PRCONS:RBS1:FLUO1:DTER], slot1[PRCONS:RBS2:MOV:DTER]""",,,,"""100""",,,,"null",,,,,,,,"""9""","""29""",
"c23472d8-0cdc-40e5-9f1b-c96579480236","2017-05-13T09:45:32.819Z","2017-05-13T09:45:26.636Z","915953b4-f9e1-41ca-acc4-4e4e90667102","2aea4736-0423-4fe0-93e3-a6b4958a9a8c",,,,,,,"newownrecord","[-349, -940]","tutorial1.Checkpoint13",,,,"""slot0[PRCONS:RBS1:FLUO1:DTER], slot1[PRCONS:RBS2:MOV:DTER]""",,,,"""100""",,,,"""35""",,,,,,,,"""8""","""29""",
"691991ee-9635-40b5-8879-7aa9c92d4857","2017-05-13T09:45:49.013Z","2017-05-13T09:45:48.029Z","915953b4-f9e1-41ca-acc4-4e4e90667102","2aea4736-0423-4fe0-93e3-a6b4958a9a8c",,,,,,,"death","[-304, -946]","tutorial1.Checkpoint13",,,,"""slot0[PRCONS:RBS1:FLUO1:DTER], slot1[PRCONS:RBS2:MOV:DTER]""",,,,"""100""",,,,,,,,,,,,,"""0""","""AMPICILLIN"""
"226820f6-5365-48a0-8c75-ee817482e575","2017-05-13T09:46:15.031Z","2017-05-13T09:46:14.047Z","915953b4-f9e1-41ca-acc4-4e4e90667102","2aea4736-0423-4fe0-93e3-a6b4958a9a8c",,,,,,,"selectmenu","[-342, -940]","tutorial1.Checkpoint13",,,,"""slot0[PRCONS:RBS1:FLUO1:DTER], slot1[PRCONS:RBS2:MOV:DTER]""",,,,"""100""","""SANDBOX""",,,,,,,,,,,,"""100""",
