,coordinates,customData,customData.biobrick,customData.chapter,customData.controls,customData.count,customData.device,customData.devices,customData.dnabit,customData.duration,customData.energy,customData.graphics,customData.language,customData.life,userId,customData.message,customData.nanobot,customData.newtab,customData.option,customData.plasmid,customData.platform,customData.sametab,customData.slot,customData.sound,customData.source,customData.total,id,playerCustomData,sessionId,section,serverTime,type,userTime
62441,"[-327, -445]",,,,,,,"""slot0[PRCONS:RBS2:MOV:DTER]""",,,"""100""",,,"""0""",48167450-4258-4ea3-9c84-eaf7bc82572e,,,,,,,,,,"""AMPICILLIN""",,041d713a-340a-4573-bb23-52e300bbe576,,a01593bd-47d8-42e5-8ea6-f3e2d479a23c,tutorial.Checkpoint01,2018-04-27 10:39:44.469000+00:00,death,2018-04-27 10:34:23.921000+00:00
62445,"[-110, -629]",,,,,,"""PRCONS:RBS2:FLUO1:DTER""","""slot0[PRCONS:RBS2:FLUO1:DTER]""",,,"""100""",,,"""100""",48167450-4258-4ea3-9c84-eaf7bc82572e,,,,,,,,,,,,22b43066-3509-4990-b346-2e41acd9c405,,a01593bd-47d8-42e5-8ea6-f3e2d479a23c,tutorial.Checkpoint01,2018-04-27 10:39:55.117000+00:00,add,2018-04-27 10:34:34.580000+00:00
62446,"[-110, -629]",,,,,,"""PRCONS:RBS2:FLUO1:DTER""","""""",,,"""100""",,,"""100""",48167450-4258-4ea3-9c84-eaf7bc82572e,,,,,,,,,,,,3083f0d9-8cb5-4023-8495-07c1ed70a9aa,,a01593bd-47d8-42e5-8ea6-f3e2d479a23c,tutorial.Checkpoint01,2018-04-27 10:39:56.549000+00:00,remove,2018-04-27 10:34:36.029000+00:00
62447,"[-110, -629]",,"""PRCONS""",,,,,"""slot0[PRCONS:null:null:null]""",,,"""100""",,,"""100""",48167450-4258-4ea3-9c84-eaf7bc82572e,,,,,,,,,,,,074bca4a-d1d3-4917-9ec8-58bbc11e5029,,a01593bd-47d8-42e5-8ea6-f3e2d479a23c,tutorial.Checkpoint01,2018-04-27 10:40:00.685000+00:00,add,2018-04-27 10:34:39.716000+00:00
62448,"[-110, -629]",,"""RBS1""",,,,,"""slot0[PRCONS:RBS1:null:null]""",,,"""100""",,,"""100""",48167450-4258-4ea3-9c84-eaf7bc82572e,,,,,,,,,,,,36863cee-6951-465c-972c-aa657badad1d,,a01593bd-47d8-42e5-8ea6-f3e2d479a23c,tutorial.Checkpoint01,2018-04-27 10:40:04.129000+00:00,add,2018-04-27 10:34:42.334000+00:00
62449,"[-110, -629]",,"""FLUO1""",,,,,"""slot0[PRCONS:RBS1:FLUO1:null]""",,,"""100""",,,"""100""",48167450-4258-4ea3-9c84-eaf7bc82572e,,,,,,,,,,,,434c5686-0d62-4ca8-bed4-31109c2b288c,,a01593bd-47d8-42e5-8ea6-f3e2d479a23c,tutorial.Checkpoint01,2018-04-27 10:40:05.017000+00:00,add,2018-04-27 10:34:44.486000+00:00
62450,"[-110, -629]",,,,,,"""PRCONS:RBS1:FLUO1:DTER""","""slot0[PRCONS:RBS1:FLUO1:DTER]""",,,"""100""",,,"""100""",48167450-4258-4ea3-9c84-eaf7bc82572e,,,,,,,,,,,,8d65d267-05fa-469f-a840-1a792f92e63a,,a01593bd-47d8-42e5-8ea6-f3e2d479a23c,tutorial.Checkpoint01,2018-04-27 10:40:06.858000+00:00,craft,2018-04-27 10:34:46.288000+00:00
62451,"[-110, -629]",,"""DTER""",,,,,"""slot0[PRCONS:RBS1:FLUO1:DTER]""",,,"""100""",,,"""100""",48167450-4258-4ea3-9c84-eaf7bc82572e,,,,,,,,,,,,7ffb2585-57e0-46e0-9550-81624586a73b,,a01593bd-47d8-42e5-8ea6-f3e2d479a23c,tutorial.Checkpoint01,2018-04-27 10:40:06.859000+00:00,add,2018-04-27 10:34:46.289000+00:00
62455,"[-110, -629]",,,,,,"""PRCONS:RBS1:MOV:DTER""","""slot0[PRCONS:RBS1:MOV:DTER]""",,,"""100""",,,"""100""",48167450-4258-4ea3-9c84-eaf7bc82572e,,,,,,,,,,,,ed3479d4-20a7-426e-a1db-4dabae4bcb25,,a01593bd-47d8-42e5-8ea6-f3e2d479a23c,tutorial.Checkpoint01,2018-04-27 10:40:11.990000+00:00,craft,2018-04-27 10:34:51.411000+00:00
62456,"[-110, -629]",,"""MOV""",,,,,"""slot0[PRCONS:RBS1:MOV:DTER]""",,,"""100""",,,"""100""",48167450-4258-4ea3-9c84-eaf7bc82572e,,,,,,,,,,,,49200834-0da6-45b6-b3b8-526fc47fdf77,,a01593bd-47d8-42e5-8ea6-f3e2d479a23c,tutorial.Checkpoint01,2018-04-27 10:40:11.990000+00:00,add,2018-04-27 10:34:51.418000+00:00
62457,"[-110, -629]",,,,,,"""PRCONS:RBS1:MOV:DTER""","""slot0[PRCONS:RBS1:MOV:DTER]""",,,"""100""",,,"""100""",48167450-4258-4ea3-9c84-eaf7bc82572e,,,,,,,,,,,,c31e2b1b-da25-4eca-891d-e99479c0e963,,a01593bd-47d8-42e5-8ea6-f3e2d479a23c,tutorial.Checkpoint01,2018-04-27 10:40:17.438000+00:00,add,2018-04-27 10:34:56.880000+00:00
62463,"[-310, -311]",,,,,"""1""",,,,,,,,,48167450-4258-4ea3-9c84-eaf7bc82572e,,"""Nanobot1""",,,,,,,,,,5c7cda00-76b1-4c44-aada-c781eb290497,,a01593bd-47d8-42e5-8ea6-f3e2d479a23c,tutorial.Checkpoint01,2018-04-27 10:40:35.630000+00:00,pickup,2018-04-27 10:35:15.095000+00:00
62465,"[-342, -259]",,,,,,,"""slot0[PRCONS:RBS1:MOV:DTER]""",,,"""100""",,,"""100""",48167450-4258-4ea3-9c84-eaf7bc82572e,,,,,,,,,,,,a041b36d-56a5-49fd-8975-8fb95920c965,,a01593bd-47d8-42e5-8ea6-f3e2d479a23c,tutorial.Checkpoint02,2018-04-27 10:40:45.461000+00:00,reach,2018-04-27 10:35:24.887000+00:00
62466,"[-342, -259]",,,"""2""",,,,"""slot0[PRCONS:RBS1:MOV:DTER]""",,,"""100""",,,"""100""",48167450-4258-4ea3-9c84-eaf7bc82572e,,,,,,,,,,,,c99e2c45-4206-422a-9e83-716b7996e6df,,a01593bd-47d8-42e5-8ea6-f3e2d479a23c,tutorial.Checkpoint02,2018-04-27 10:40:45.461000+00:00,newfurthest,2018-04-27 10:35:24.887000+00:00
62467,"[-342, -259]",,,"""1""",,,,"""slot0[PRCONS:RBS1:MOV:DTER]""",,"""1137""","""100""",,,"""100""",48167450-4258-4ea3-9c84-eaf7bc82572e,,,,,,,,,,,,4efcf286-d898-40a4-ae6a-69bde7a5c209,,a01593bd-47d8-42e5-8ea6-f3e2d479a23c,tutorial.Checkpoint02,2018-04-27 10:40:45.518000+00:00,newownrecord,2018-04-27 10:35:24.887000+00:00
62471,"[-470, -231]",,,,,,,"""slot0[PRCONS:RBS1:MOV:DTER]""",,,"""100""",,,"""0""",48167450-4258-4ea3-9c84-eaf7bc82572e,,,,,,,,,,"""AMPICILLIN""",,47a1d785-1c2d-4ce8-adbf-96801e373f6c,,a01593bd-47d8-42e5-8ea6-f3e2d479a23c,tutorial.Checkpoint02,2018-04-27 10:40:58.559000+00:00,death,2018-04-27 10:35:38.014000+00:00
62477,"[-451, -279]",,,,,,,"""slot0[PRCONS:RBS1:MOV:DTER]""",,,"""100""",,,"""0""",48167450-4258-4ea3-9c84-eaf7bc82572e,,,,,,,,,,"""AMPICILLIN""",,08273550-cbcd-4312-acb8-02278fe9ad30,,a01593bd-47d8-42e5-8ea6-f3e2d479a23c,tutorial.Checkpoint02,2018-04-27 10:41:10.627000+00:00,death,2018-04-27 10:35:50.074000+00:00
62484,"[-580, -220]",,,,,,"""PRCONS:RBS2:FLUO1:DTER""","""slot0[PRCONS:RBS2:FLUO1:DTER]""",,,"""100""",,,"""100""",48167450-4258-4ea3-9c84-eaf7bc82572e,,,,,,,,,,,,57b71a4f-cfe7-4be6-b2a0-0b8f8bfb3343,,a01593bd-47d8-42e5-8ea6-f3e2d479a23c,tutorial.Checkpoint02,2018-04-27 10:42:16.541000+00:00,add,2018-04-27 10:36:55.994000+00:00
