,coordinates,customData,customData.biobrick,customData.chapter,customData.controls,customData.count,customData.device,customData.devices,customData.dnabit,customData.duration,customData.energy,customData.graphics,customData.language,customData.life,userId,customData.message,customData.nanobot,customData.newtab,customData.option,customData.plasmid,customData.platform,customData.sametab,customData.slot,customData.sound,customData.source,customData.total,id,playerCustomData,sessionId,section,serverTime,type,userTime
15559,"[-346, -261]",,,"""2""",,,,"""slot0[PRCONS:RBS1:MOV:DTER]""",,,"""100""",,,"""100""",148832b8-0ab8-43c2-bdcb-8432f4e3f396,,,,,,,,,,,,bc0baf44-dd7c-4257-afc5-bdb931c7d8d5,,23181973-5361-4278-91a8-f2e9dddce069,tutorial.Checkpoint02,2018-05-04 08:02:19.034000+00:00,newfurthest,2018-05-04 08:02:18.842000+00:00
15560,"[-346, -261]",,,"""1""",,,,"""slot0[PRCONS:RBS1:MOV:DTER]""",,"""525""","""100""",,,"""100""",148832b8-0ab8-43c2-bdcb-8432f4e3f396,,,,,,,,,,,,e1718c17-5ddb-4d97-ba0f-e71641b8250b,,23181973-5361-4278-91a8-f2e9dddce069,tutorial.Checkpoint02,2018-05-04 08:02:19.098000+00:00,newownrecord,2018-05-04 08:02:18.844000+00:00
15561,"[-449, -305]",,,,,,,"""slot0[PRCONS:RBS1:MOV:DTER]""",,,"""100""",,,"""0""",148832b8-0ab8-43c2-bdcb-8432f4e3f396,,,,,,,,,,"""ON""",,9bc2e3f1-5625-4665-970d-1af2d9bea8f1,,23181973-5361-4278-91a8-f2e9dddce069,tutorial.Checkpoint02,2018-05-04 08:02:30.462000+00:00,death,2018-05-04 08:02:30.268000+00:00
15562,"[-596, -223]",,,,,,"""PRCONS:RBS2:FLUO1:DTER""","""slot0[PRCONS:RBS2:FLUO1:DTER]""",,,"""100""",,,"""100""",148832b8-0ab8-43c2-bdcb-8432f4e3f396,,,,,,,,,,,,659f8ed9-01c3-46e3-87ab-ad429b97ba86,,23181973-5361-4278-91a8-f2e9dddce069,tutorial.Checkpoint02,2018-05-04 08:03:11.231000+00:00,add,2018-05-04 08:03:11.032000+00:00
15563,"[-596, -223]",,,,,,"""PRCONS:RBS1:MOV:DTER""","""slot0[PRCONS:RBS1:MOV:DTER]""",,,"""100""",,,"""100""",148832b8-0ab8-43c2-bdcb-8432f4e3f396,,,,,,,,,,,,56fffab0-d629-4b26-96f3-4c1bd49e69d5,,23181973-5361-4278-91a8-f2e9dddce069,tutorial.Checkpoint02,2018-05-04 08:03:22.326000+00:00,add,2018-05-04 08:03:22.143000+00:00
15564,"[-591, -322]",,,,,,,"""slot0[PRCONS:RBS1:MOV:DTER]""",,,"""100""",,,"""100""",148832b8-0ab8-43c2-bdcb-8432f4e3f396,,,,,,,,,,,,32e4cea1-3c21-4f49-a924-107de2e10b0e,,23181973-5361-4278-91a8-f2e9dddce069,tutorial.Checkpoint03,2018-05-04 08:03:28.620000+00:00,reach,2018-05-04 08:03:28.422000+00:00
15565,"[-591, -322]",,,"""3""",,,,"""slot0[PRCONS:RBS1:MOV:DTER]""",,,"""100""",,,"""100""",148832b8-0ab8-43c2-bdcb-8432f4e3f396,,,,,,,,,,,,7c0359cc-7ae3-4f95-999c-062d052ee0e2,,23181973-5361-4278-91a8-f2e9dddce069,tutorial.Checkpoint03,2018-05-04 08:03:28.701000+00:00,newfurthest,2018-05-04 08:03:28.424000+00:00
15566,"[-591, -322]",,,"""2""",,,,"""slot0[PRCONS:RBS1:MOV:DTER]""",,"""19""","""100""",,,"""100""",148832b8-0ab8-43c2-bdcb-8432f4e3f396,,,,,,,,,,,,23f6032d-0994-4338-8d5d-bb281d522f04,,23181973-5361-4278-91a8-f2e9dddce069,tutorial.Checkpoint03,2018-05-04 08:03:28.742000+00:00,newownrecord,2018-05-04 08:03:28.427000+00:00
15567,"[-598, -435]",,,,,,,"""slot0[PRCONS:RBS1:MOV:DTER]""",,,"""100""",,,"""0""",148832b8-0ab8-43c2-bdcb-8432f4e3f396,,,,,,,,,,"""AMPICILLIN""",,7a7fbb86-197c-4a06-875b-c0c202aa3297,,23181973-5361-4278-91a8-f2e9dddce069,tutorial.Checkpoint03,2018-05-04 08:03:34.045000+00:00,death,2018-05-04 08:03:33.863000+00:00
15568,"[-663, -395]",,,,,"""2""",,,,,,,,,148832b8-0ab8-43c2-bdcb-8432f4e3f396,,"""Nanobot2""",,,,,,,,,,0ab5e6e9-5205-4df5-855b-3d770fcd8bba,,23181973-5361-4278-91a8-f2e9dddce069,tutorial.Checkpoint03,2018-05-04 08:03:46.173000+00:00,pickup,2018-05-04 08:03:45.993000+00:00
