,Timestamp,Want to learn more about Biology,Want to learn more about Synthetic biology,Want to learn more about Video games,Want to learn more about Engineering,Played Hero.Coli,Age,Gender,Interested in video games,Interested in biology,Studied biology,Play video games,Heard about Synthetic biology or BioBricks,Volunteered to answer more questions,Enjoyed playing,Genotype and phenotype,BioBricks and devices composition,Ampicillin antibiotic,Name: Plasmid,Function: TER,Name: PR,Function - game: CDS,Name: TER,Function - biology: CDS,Name: RBS,Example: CDS,Name: CDS,Function: PR,Function: RBS,Function: Plasmid,Name: Operator XXX,Device: RBS:PCONS:FLHDC:TER XXX,Device: PCONS:RBS:FLHDC:TER,Device: PBAD:RBS:GFP:TER,Device: PBAD:GFP:RBS:TER XXX,Device: GFP:RBS:PCONS:TER XXX,Device: PCONS:GFP:RBS:TER XXX,Device: AMPR:RBS:PCONS:TER XXX,Device: RBS:PCONS:AMPR:TER XXX,Green fluorescence,Unequip the movement device: effect,Device: PBAD:RBS:ARA:TER,Remarks,userId,Language,Temporality
356,2018-05-22 00:38:04+00:00,Moderately,Moderately,Slightly,Moderately,No / not yet,31,Female,Slightly,Moderately,Until the end of high school,Rarely,"Yes, but I don't exactly know what it means",Yes,Not applicable: not played yet,Edit the DNA of the bacterium,I don't know,Ampicillin,I don't know,I don't know,I don't know,I don't know,TER,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,,44e7b796-5517-43fb-bdea-0e567595524c,en,pretest
358,2018-05-22 05:26:01+00:00,Slightly,Not at all,Slightly,Not at all,No / not yet,18,Female,Slightly,Slightly,Until the end of high school,Rarely,No,Yes,Not applicable: not played yet,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,,cf59b732-ee6c-4e10-abbc-6b6a3cf9f2dd,en,pretest
359,2018-05-22 07:16:19+00:00,Slightly,Slightly,Moderately,A lot,I just played for the first time,,,,,,,,,Not applicable: not played yet,Edit the DNA of the bacterium,RNA sequences,Arabinose,TER,None of these,TER,None of these,TER,TER,TER,TER,None of these,None of these,None of these,TER,TER,The bricks are not well-ordered,It generates green fluorescence,The bricks are not well-ordered,The bricks are not well-ordered,It generates green fluorescence,It generates green fluorescence,The bricks are not well-ordered,It generates green fluorescence,"Under blue light, when the GFP device is equipped",The bacterium dies,It produces arabinose all the time,iDK,59a78fec-045b-4baa-b10e-65acf9edbcba,en,posttest
360,2018-05-22 11:44:21+00:00,Not at all,Not at all,Not at all,Not at all,I just played for the first time,,,,,,,,,Not applicable: not played yet,Gather nanorobots,RNA sequences,Ampicillin,None of these,None of these,None of these,None of these,None of these,None of these,None of these,None of these,None of these,None of these,None of these,None of these,None of these,The bricks are not well-ordered,The bricks are not well-ordered,The bricks are not well-ordered,The bricks are not well-ordered,The bricks are not well-ordered,The bricks are not well-ordered,The bricks are not well-ordered,The bricks are not well-ordered,"Under blue light, when the GFP device is equipped",The bacterium glows,It produces arabinose all the time,,02b0d824-e66e-4800-8eae-b37696d743f2,en,posttest
363,2018-05-22 21:47:11+00:00,Extremely,Extremely,Extremely,Extremely,No / not yet,17,Male,Extremely,Extremely,Until the end of high school,Moderately,"Yes, but I don't exactly know what it means",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11034a73-a173-4f84-afdb-7703610f3595,en,pretest
364,2018-05-23 12:50:18+00:00,Extremely,Slightly,Extremely,Slightly,No / not yet,17,Male,Extremely,Extremely,Until the end of high school,Extremely,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2cdfeea7-a3ff-4248-8eaa-0b16a474c07c,en,pretest
365,2018-05-23 12:55:08+00:00,Extremely,Extremely,Slightly,Moderately,No / not yet,32,Female,Slightly,Extremely,At least until master's degree,Not at all,"Yes, but I don't exactly know what it means",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06d921b7-174c-4251-b86e-9396634933d3,en,pretest
367,2018-05-23 13:59:27+00:00,A lot,Extremely,Extremely,Extremely,No / not yet,19,Male,Extremely,Extremely,Until the end of middle school,Extremely,"Yes, but I don't exactly know what it means",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a69dd71b-f2e3-4a2a-9e53-695b5e17de51,en,pretest
368,2018-05-23 14:05:39+00:00,Extremely,Extremely,Slightly,Moderately,I just played for the first time,32,Female,Slightly,Extremely,At least until master's degree,Not at all,"Yes, but I don't exactly know what it means",No,A lot,Edit the DNA of the bacterium,DNA sequences,Ampicillin,Plasmid,TER,PR,CDS,TER,CDS,RBS,CDS,CDS,PR,RBS,Plasmid,PR,The bricks are not well-ordered,It makes it possible to move faster,It generates green fluorescence in presence of arabinose inducer,The bricks are not well-ordered,The bricks are not well-ordered,The bricks are not well-ordered,The bricks are not well-ordered,The bricks are not well-ordered,"Under blue light, when the GFP device is equipped",Flagella quickly disappear one by one,"It produces more and more arabinose after being induced, because it induces itself",,06d921b7-174c-4251-b86e-9396634933d3,en,posttest
370,2018-05-23 19:21:09+00:00,Slightly,Not at all,Extremely,Extremely,No / not yet,12,Male,Extremely,Moderately,Not even in middle school,A lot,"Yes, but I don't exactly know what it means",Yes,Extremely,I don't know,Amino-acids,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,,76a68109-8532-4f27-a242-04b20fa8076e,en,pretest
