,Timestamp,Want to learn more about Biology,Want to learn more about Synthetic biology,Want to learn more about Video games,Want to learn more about Engineering,Played Hero.Coli,Age,Gender,Interested in video games,Interested in biology,Studied biology,Play video games,Heard about Synthetic biology or BioBricks,Volunteered to answer more questions,Enjoyed playing,Genotype and phenotype,BioBricks and devices composition,Ampicillin antibiotic,Name: Plasmid,Function: TER,Name: PR,Function - game: CDS,Name: TER,Function - biology: CDS,Name: RBS,Example: CDS,Name: CDS,Function: PR,Function: RBS,Function: Plasmid,Name: Operator XXX,Device: RBS:PCONS:FLHDC:TER XXX,Device: PCONS:RBS:FLHDC:TER,Device: PBAD:RBS:GFP:TER,Device: PBAD:GFP:RBS:TER XXX,Device: GFP:RBS:PCONS:TER XXX,Device: PCONS:GFP:RBS:TER XXX,Device: AMPR:RBS:PCONS:TER XXX,Device: RBS:PCONS:AMPR:TER XXX,Green fluorescence,Unequip the movement device: effect,Device: PBAD:RBS:ARA:TER,Remarks,userId,Language,Temporality
708,2018-04-17 16:05:34+00:00,Not at all,Not at all,Slightly,Not at all,No / not yet,13,Male,A lot,Not at all,Not even in middle school,Moderately,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0f559518-8273-4252-927a-9751b0826aaf,fr,pretest
709,2018-04-17 16:28:52+00:00,Slightly,Slightly,A lot,Slightly,I just played for the first time,15,Female,A lot,Not at all,Not even in middle school,A lot,No,No,A lot,Gather nanobots,I don't know,GFP,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,TER,I don't know,I don't know,I don't know,TER,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,,808098d1-b48f-4b0d-93cc-0fdf217b2163,fr,posttest
710,2018-04-17 16:31:51+00:00,Not at all,Slightly,Slightly,Not at all,I just played for the first time,13,Male,A lot,Not at all,Not even in middle school,Moderately,No,No,A bit,I don't know,I don't know,I don't know,I don't know,RBS,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,RBS,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,"In front of the doors, when the GFP device is equipped",The bacterium dies,I don't know,,0f559518-8273-4252-927a-9751b0826aaf,fr,posttest
711,2018-04-18 10:43:15+00:00,Slightly,Not at all,Slightly,Slightly,I played it multiple times recently on this computer,,,,,,,,,Moderately,Move the bacterium,Proteins,GFP,CDS,CDS,CDS,CDS,CDS,CDS,CDS,CDS,CDS,CDS,CDS,CDS,CDS,It makes it possible to move faster,It makes it possible to move faster,It makes it possible to move faster,It makes it possible to move faster,It makes it possible to move faster,It makes it possible to move faster,It makes it possible to move faster,It makes it possible to move faster,"Under blue light, when the GFP device is equipped",The bacterium glows,It produces arabinose all the time,,def2d00a-91b7-4cc5-9327-7913554441a5,fr,posttest
712,2018-04-18 10:44:05+00:00,Not at all,Not at all,Slightly,Slightly,No / not yet,13,Male,A lot,Not at all,Not even in middle school,Rarely,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d898b896-a46d-44b5-ab49-cb4889234036,fr,pretest
713,2018-04-18 10:44:31+00:00,Not at all,Not at all,Extremely,Moderately,No / not yet,13,Male,Extremely,Not at all,Not even in middle school,Extremely,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01cc303e-d7c1-4c84-8e17-182b410da343,fr,pretest
714,2018-04-18 10:50:40+00:00,Not at all,Not at all,Extremely,Not at all,No / not yet,12,Male,Extremely,Moderately,Not even in middle school,Extremely,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f61c45c6-de8c-4785-be09-7aa6a58d4b56,fr,pretest
715,2018-04-18 10:57:58+00:00,A lot,Slightly,Extremely,A lot,No / not yet,13,Male,Extremely,A lot,Not even in middle school,Extremely,"Yes, but I don't exactly know what it means",Yes,Not applicable: not played yet,Gather nanobots,Amino-acids,I don't know,RBS,PR,RBS,CDS,Plasmid,I don't know,I don't know,TER,I don't know,I don't know,None of these,PR,PR,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,,8aa79db1-5df8-41c4-9c05-b69a23085da7,fr,pretest
716,2018-04-18 11:06:17+00:00,Moderately,Slightly,A lot,Moderately,No / not yet,12,Male,Extremely,Moderately,Not even in middle school,Moderately,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04424c3f-9418-4752-ba1d-5c6fda1cd6c2,fr,pretest
717,2018-04-18 11:09:46+00:00,Not at all,Not at all,Extremely,Not at all,I just played for the first time,,,,,,,,,A lot,I don't know,I don't know,I don't know,I don't know,RBS,I don't know,Plasmid,I don't know,PR,I don't know,I don't know,PR,PR,CDS,RBS,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,"Under blue light, all the time",I don't know,I don't know,,e075a814-70ca-4ff9-8e6c-6931c0400cc3,fr,posttest
