,antecedants,consequents,support,confidence
114,"frozenset({'Q15', 'Q21', 'Q1', 'Q19'})",frozenset({'Q26'}),119,1.0
115,"frozenset({'Q15', 'Q1', 'Q19'})","frozenset({'Q26', 'Q21'})",119,0.967479674796748
116,"frozenset({'Q15', 'Q1'})","frozenset({'Q26', 'Q21', 'Q19'})",119,0.9015151515151515
117,"frozenset({'Q15', 'Q21', 'Q19'})","frozenset({'Q26', 'Q1'})",119,0.9015151515151515
118,"frozenset({'Q15', 'Q21', 'Q1'})","frozenset({'Q26', 'Q19'})",119,0.9916666666666667
119,"frozenset({'Q15', 'Q21'})","frozenset({'Q26', 'Q1', 'Q19'})",119,0.8880597014925373
120,"frozenset({'Q15', 'Q26', 'Q1', 'Q19'})",frozenset({'Q21'}),119,0.967479674796748
121,"frozenset({'Q15', 'Q26', 'Q19'})","frozenset({'Q21', 'Q1'})",119,0.8686131386861314
122,"frozenset({'Q15', 'Q26', 'Q1'})","frozenset({'Q21', 'Q19'})",119,0.9153846153846154
123,"frozenset({'Q15', 'Q26', 'Q21', 'Q19'})",frozenset({'Q1'}),119,0.9015151515151515
124,"frozenset({'Q15', 'Q26', 'Q21', 'Q1'})",frozenset({'Q19'}),119,0.9916666666666667
125,"frozenset({'Q15', 'Q26', 'Q21'})","frozenset({'Q1', 'Q19'})",119,0.8947368421052632
126,"frozenset({'Q26', 'Q20', 'Q27', 'Q19'})",frozenset({'Q15'}),124,0.8551724137931035
127,"frozenset({'Q15', 'Q20', 'Q27', 'Q19'})",frozenset({'Q26'}),124,0.992
128,"frozenset({'Q15', 'Q27', 'Q19'})","frozenset({'Q26', 'Q20'})",124,0.9253731343283582
129,"frozenset({'Q15', 'Q27'})","frozenset({'Q26', 'Q20', 'Q19'})",124,0.8551724137931035
130,"frozenset({'Q15', 'Q20', 'Q27'})","frozenset({'Q26', 'Q19'})",124,0.992
131,"frozenset({'Q15', 'Q26', 'Q27', 'Q19'})",frozenset({'Q20'}),124,0.9323308270676691
132,"frozenset({'Q15', 'Q26', 'Q27'})","frozenset({'Q20', 'Q19'})",124,0.8794326241134752
133,"frozenset({'Q15', 'Q26', 'Q20', 'Q19'})",frozenset({'Q27'}),124,0.9763779527559056
134,"frozenset({'Q15', 'Q20', 'Q19'})","frozenset({'Q26', 'Q27'})",124,0.9612403100775194
135,"frozenset({'Q15', 'Q19'})","frozenset({'Q26', 'Q20', 'Q27'})",124,0.8732394366197183
136,"frozenset({'Q15', 'Q20'})","frozenset({'Q26', 'Q27', 'Q19'})",124,0.9612403100775194
137,"frozenset({'Q15', 'Q26', 'Q19'})","frozenset({'Q20', 'Q27'})",124,0.9051094890510949
138,"frozenset({'Q15', 'Q26', 'Q20'})","frozenset({'Q27', 'Q19'})",124,0.9763779527559056
139,"frozenset({'Q15', 'Q26', 'Q20', 'Q27'})",frozenset({'Q19'}),124,1.0
140,"frozenset({'Q20', 'Q1', 'Q27', 'Q19'})",frozenset({'Q26'}),133,0.9925373134328358
141,"frozenset({'Q1', 'Q27', 'Q19'})","frozenset({'Q26', 'Q20'})",133,0.9300699300699301
142,"frozenset({'Q20', 'Q27', 'Q19'})","frozenset({'Q26', 'Q1'})",133,0.9047619047619048
143,"frozenset({'Q20', 'Q1', 'Q27'})","frozenset({'Q26', 'Q19'})",133,0.9851851851851852
144,"frozenset({'Q20', 'Q27'})","frozenset({'Q26', 'Q1', 'Q19'})",133,0.8926174496644296
145,"frozenset({'Q26', 'Q1', 'Q27', 'Q19'})",frozenset({'Q20'}),133,0.9432624113475178
146,"frozenset({'Q26', 'Q27', 'Q19'})","frozenset({'Q20', 'Q1'})",133,0.8525641025641025
147,"frozenset({'Q26', 'Q20', 'Q27', 'Q19'})",frozenset({'Q1'}),133,0.9172413793103448
148,"frozenset({'Q26', 'Q20', 'Q1', 'Q19'})",frozenset({'Q27'}),133,0.9432624113475178
149,"frozenset({'Q20', 'Q1', 'Q19'})","frozenset({'Q26', 'Q27'})",133,0.9172413793103448
150,"frozenset({'Q20', 'Q1'})","frozenset({'Q26', 'Q27', 'Q19'})",133,0.910958904109589
151,"frozenset({'Q26', 'Q1', 'Q19'})","frozenset({'Q20', 'Q27'})",133,0.875
152,"frozenset({'Q26', 'Q20', 'Q19'})","frozenset({'Q1', 'Q27'})",133,0.869281045751634
