,Timestamp,Want to learn more about Biology,Want to learn more about Synthetic biology,Want to learn more about Video games,Want to learn more about Engineering,Played Hero.Coli,Age,Gender,Interested in video games,Interested in biology,Studied biology,Play video games,Heard about Synthetic biology or BioBricks,Volunteered to answer more questions,Enjoyed playing,Genotype and phenotype,BioBricks and devices composition,Ampicillin antibiotic,Name: Plasmid,Function: TER,Name: PR,Function - game: CDS,Name: TER,Function - biology: CDS,Name: RBS,Example: CDS,Name: CDS,Function: PR,Function: RBS,Function: Plasmid,Name: Operator XXX,Device: RBS:PCONS:FLHDC:TER XXX,Device: PCONS:RBS:FLHDC:TER,Device: PBAD:RBS:GFP:TER,Device: PBAD:GFP:RBS:TER XXX,Device: GFP:RBS:PCONS:TER XXX,Device: PCONS:GFP:RBS:TER XXX,Device: AMPR:RBS:PCONS:TER XXX,Device: RBS:PCONS:AMPR:TER XXX,Green fluorescence,Unequip the movement device: effect,Device: PBAD:RBS:ARA:TER,Remarks,userId,Language,Temporality
747,2018-04-18 14:37:12+00:00,A lot,A lot,Extremely,Extremely,I just played for the first time,16,Male,Extremely,A lot,Until the end of high school,Extremely,"Yes, but I don't exactly know what it means",Yes,A lot,Edit the DNA of the bacterium,Proteins,Ampicillin,Plasmid,TER,None of these,None of these,None of these,CDS,CDS,CDS,CDS,PR,RBS,PR,PR,The bricks are not well-ordered,It makes it possible to move faster,It generates green fluorescence,The bricks are not well-ordered,The bricks are not well-ordered,The bricks are not well-ordered,The bricks are not well-ordered,The bricks are not well-ordered,"Under blue light, when the GFP device is equipped",Flagella quickly disappear one by one,It is active only in arabinose clouds,,908de40a-25d7-4ad5-a45a-de9eb3709a77,fr,posttest
748,2018-04-18 14:41:15+00:00,A lot,Moderately,Extremely,Not at all,No / not yet,17,Male,A lot,Moderately,Until the end of high school,A lot,"Yes, but I don't exactly know what it means",Yes,Not applicable: not played yet,Edit the DNA of the bacterium,Proteins,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,The bricks are not well-ordered,It generates green fluorescence,It generates green fluorescence in presence of arabinose inducer,It makes it possible to move faster,It generates antibiotic resistance,I don't know,It generates antibiotic resistance,It makes it possible to move faster,"Under blue light, all the time",The bacterium glows,It is active only in arabinose clouds,,f5d5aba7-faf3-4c7b-a324-508931a37649,fr,pretest
749,2018-04-18 14:41:17+00:00,A lot,A lot,Slightly,Extremely,I just played for the first time,33,Male,Slightly,A lot,Until the end of high school,Rarely,No,Yes,Moderately,Edit the DNA of the bacterium,DNA sequences,Ampicillin,Plasmid,TER,I don't know,None of these,TER,CDS,I don't know,I don't know,Plasmid,I don't know,RBS,Plasmid,PR,The bricks are not well-ordered,It makes it possible to move faster,It generates green fluorescence in presence of arabinose inducer,The bricks are not well-ordered,The bricks are not well-ordered,It generates green fluorescence,The bricks are not well-ordered,The bricks are not well-ordered,"Under blue light, when the GFP device is equipped",Flagella quickly disappear one by one,It is active only in arabinose clouds,"Outil très intéressant pour expliquer certains principes. Par contre, le sujet est un peu difficile pour ceux qui ne sont pas initiés.",1b1be5b7-e341-42b7-842d-cc83b56785e1,fr,posttest
754,2018-04-18 15:33:17+00:00,A lot,Moderately,Extremely,Slightly,I just played for the first time,17,Male,A lot,Moderately,Until the end of high school,A lot,"Yes, but I don't exactly know what it means",Yes,A lot,Edit the DNA of the bacterium,DNA sequences,Ampicillin,Plasmid,TER,None of these,RBS,None of these,CDS,CDS,PR,None of these,None of these,RBS,TER,PR,The bricks are not well-ordered,It generates green fluorescence in presence of arabinose inducer,It makes it possible to move faster,The bricks are not well-ordered,The bricks are not well-ordered,The bricks are not well-ordered,The bricks are not well-ordered,The bricks are not well-ordered,"Under blue light, when the GFP device is equipped",Nothing,It is active only in arabinose clouds,,f5d5aba7-faf3-4c7b-a324-508931a37649,fr,posttest
755,2018-04-18 15:41:06+00:00,Extremely,Extremely,Extremely,Extremely,No / not yet,14,Male,Moderately,Moderately,Until the end of middle school,Moderately,"Yes, but I don't exactly know what it means",Yes,Not applicable: not played yet,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,,93c8b989-b8b1-4b78-ac56-ec066775aceb,fr,pretest
760,2018-04-18 16:49:59+00:00,Extremely,Extremely,Extremely,Extremely,I just played for the first time,14,Male,Moderately,Moderately,Until the end of middle school,Moderately,"Yes, but I don't exactly know what it means",Yes,Moderately,Edit the DNA of the bacterium,DNA sequences,I don't know,I don't know,TER,None of these,CDS,TER,PR,CDS,CDS,None of these,I don't know,RBS,Plasmid,I don't know,The bricks are not well-ordered,I don't know,I don't know,I don't know,The bricks are not well-ordered,I don't know,The bricks are not well-ordered,The bricks are not well-ordered,"Under blue light, when the GFP device is equipped",The bacterium dies,I don't know,,93c8b989-b8b1-4b78-ac56-ec066775aceb,fr,posttest
769,2018-04-20 11:05:38+00:00,A lot,Moderately,A lot,A lot,No / not yet,28,Male,Extremely,Moderately,Until the end of middle school,A lot,No,Yes,Not applicable: not played yet,Edit the DNA of the bacterium,I don't know,Ampicillin,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,,9e320169-d927-4e03-a1e4-78b1175e5833,fr,pretest
777,2018-04-20 13:03:02+00:00,A lot,Slightly,Extremely,A lot,I just played for the first time,28,Male,Extremely,Moderately,Until the end of middle school,A lot,No,Yes,A lot,Edit the DNA of the bacterium,DNA sequences,Ampicillin,I don't know,I don't know,I don't know,PR,I don't know,None of these,RBS,CDS,TER,I don't know,I don't know,Plasmid,I don't know,The bricks are not well-ordered,It makes it possible to move faster,It generates green fluorescence,I don't know,I don't know,I don't know,I don't know,I don't know,"Under blue light, when the GFP device is equipped",Nothing,It produces nothing since it induces itself,,9e320169-d927-4e03-a1e4-78b1175e5833,fr,posttest
778,2018-04-20 13:13:57+00:00,Moderately,Moderately,Slightly,Moderately,No / not yet,21,Female,Extremely,Slightly,Until the end of middle school,Extremely,"Yes, but I don't exactly know what it means",Yes,Not applicable: not played yet,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,,5dd359a7-76b4-4458-9e6a-6a373b14eaac,fr,pretest
779,2018-04-20 13:47:13+00:00,Moderately,Moderately,Extremely,A lot,No / not yet,16,Male,Extremely,Moderately,Until the end of middle school,Extremely,No,Yes,Not applicable: not played yet,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,It makes it possible to move faster,It generates antibiotic resistance,It generates green fluorescence in presence of arabinose inducer,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,It produces arabinose all the time,,ccbfb274-bf92-4d4e-bfe8-eb1626713253,fr,pretest
