"Timestamp","Aimeriez-vous en savoir plus sur... [La biologie]","Aimeriez-vous en savoir plus sur... [La biologie de synthèse]","Aimeriez-vous en savoir plus sur... [Les jeux vidéo]","Aimeriez-vous en savoir plus sur... [L'ingénierie]","Avez-vous déjà joué à Hero.Coli ?","Quel âge avez-vous ?"," [Quel est votre sexe ?]"," [Vous intéressez-vous aux jeux vidéo ?]"," [Vous intéressez-vous à la biologie ?]"," [Combien de temps avez-vous étudié la biologie ?]"," [Jouez-vous aux jeux vidéo ?]"," [Avant Hero.Coli, aviez-vous déjà entendu parler de la biologie de synthèse ou des BioBriques ?]","Êtes-vous volontaire pour contribuer à notre étude en répondant à 9 questions supplémentaires ? (5 min)"," [Vous êtes-vous amusé en jouant au jeu ?]"," [Pour modifier les capacités de la bactérie il faut...]"," [Que sont les BioBriques et les constructions ?]"," [Trouvez l'antibiotique :]","Les BioBriques : [Le Plasmide est...]","Les BioBriques : [Représente la fin d'une construction...]","Les BioBriques : [Le Promoteur est...]","Les BioBriques : [Représente la capacité fournie...]","Les BioBriques : [Le Terminateur est...]","Les BioBriques : [Code une protéine...]","Les BioBriques : [Le RBS est...]","Les BioBriques : [Peut représenter la GFP...]","Les BioBriques : [La Séquence Codante est...]","Les BioBriques : [Contrôle quand la construction est active...]","Les BioBriques : [Contrôle le niveau d'expression, et donc à quel point la capacité est affectée...]","Les BioBriques : [Permet d'équiper une construction supplémentaire...]","Les BioBriques : [L'Opérateur est...]"," [construction 1]"," [construction 2]"," [construction 3]"," [construction 4]"," [construction 5]"," [construction 6]"," [construction 7]"," [construction 8]"," [Quand la fluorescence verte se produit-elle ?]"," [Que se passe-t-il quand on enlève la construction génétique de déplacement ?]","Dernière question. La page suivante ne contient que les remarques. [Imaginez : vous venez d'assembler une construction fonctionnelle qui contient un promoteur induit à l'arabinose et une séquence codante (CDS) pour l'arabinose. Que se passe-t-il ?]","Vous pouvez ajouter des remarques ici.","⚠ Ne pas modifier"
"2018/04/14 6:18:37 PM GMT+2","Beaucoup","Énormément","Un peu","Énormément","Je viens d'y jouer pour la première fois","","","","","","","","","Moyennement","Modifier l'ADN de la bactérie","Des séquences d'ADN","Ampicilline","Aucun de ces éléments","1","Je ne sais pas","4","1","5","2","3","Aucun de ces éléments","2","4","2","Aucun de ces éléments","Les briques ne sont pas dans le bon ordre","Elle permet de se déplacer plus vite","Elle produit la fluorescence verte en présence d'inducteur arabinose","Les briques ne sont pas dans le bon ordre","Les briques ne sont pas dans le bon ordre","Les briques ne sont pas dans le bon ordre","Les briques ne sont pas dans le bon ordre","Les briques ne sont pas dans le bon ordre","Sous lumière bleue, quand la construction GFP est équipée","Les flagelles disparaissent l'un après l'autre, rapidement","Je ne sais pas","","34b30060-14af-4b99-9a04-b12337c51404"
"2018/04/14 6:25:51 PM GMT+2","Moyennement","Moyennement","Beaucoup","Moyennement","Je viens d'y jouer pour la première fois","","","","","","","","","Beaucoup","Modifier l'ADN de la bactérie","Des séquences d'ARN","Ampicilline","Je ne sais pas","1","2","5","1","Je ne sais pas","Je ne sais pas","2","Je ne sais pas","4","4","3","2","Les briques ne sont pas dans le bon ordre","Elle permet de se déplacer plus vite","Elle produit la fluorescence verte","Elle produit la fluorescence verte en présence d'inducteur arabinose","Les briques ne sont pas dans le bon ordre","Elle permet de se déplacer plus vite","Les briques ne sont pas dans le bon ordre","Les briques ne sont pas dans le bon ordre","Sous lumière bleue, quand la construction GFP est équipée","Les flagelles disparaissent l'un après l'autre, rapidement","Elle produit de plus en plus d'arabinose après avoir été induite, puisqu'elle s'induit elle-même.","","8829514a-cb9f-47fb-aaeb-3167776f1062"
"2018/04/16 8:20:04 AM GMT+2","Moyennement","Moyennement","Moyennement","Moyennement","Non / pas encore","25","Je ne souhaite pas le préciser","Énormément","Un peu","Jusqu'au bac","Beaucoup","Non","Non","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","e4654596-5799-4a6a-a3d1-0f9f113f9ccb"
"2018/04/16 10:45:23 PM GMT+2","Énormément","Énormément","Énormément","Énormément","Non / pas encore","50","Femme","Moyennement","Beaucoup","Jusqu'au bac","Moyennement","Non","Oui","Ne s'applique pas : pas encore joué","Je ne sais pas","Je ne sais pas","Ampicilline","2","2","2","2","2","2","2","2","2","2","2","2","2","Les briques ne sont pas dans le bon ordre","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Sous lumière bleue, quand la construction GFP est équipée","La bactérie devient lumineuse","Elle produit de l'arabinose tout le temps.","","b557b6aa-945f-43f8-bdb6-0e08e17e060e"
"2018/04/16 10:55:12 PM GMT+2","Pas du tout","Pas du tout","Moyennement","Moyennement","Non / pas encore","50","Femme","Beaucoup","Beaucoup","Jusqu'au bac","Beaucoup","Oui, mais je ne sais pas exactement ce que c'est","Oui","Ne s'applique pas : pas encore joué","Modifier l'ADN de la bactérie","Je ne sais pas","Ampicilline","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","","babd742e-489c-4b29-85e0-bc2317fdbc8d"
"2018/04/16 10:59:29 PM GMT+2","Pas du tout","Pas du tout","Pas du tout","Pas du tout","Non / pas encore","50","Femme","Moyennement","Moyennement","Jusqu'au bac","Moyennement","Oui, mais je ne sais pas exactement ce que c'est","Non","","","","","","","","","","","","","","","","","","","","","","","","","","","","","ca fait 3 fois que je rempli ce questionnaire et je n'ai toujours de jeu","783a5f67-948e-42c7-a67d-0dbf7d2c917c"
"2018/04/17 8:31:50 AM GMT+2","Énormément","Beaucoup","Moyennement","Énormément","Non / pas encore","45","Homme","Un peu","Énormément","Au moins jusqu'au master","Un peu","Oui, mais je ne sais pas exactement ce que c'est","Non","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8a9b4a67-dbac-446b-918d-4b920a3cc601"
"2018/04/17 12:30:14 PM GMT+2","Moyennement","Moyennement","Moyennement","Moyennement","Non / pas encore","35","Homme","Beaucoup","Moyennement","Jusqu'au brevet","Moyennement","Non","Oui","Ne s'applique pas : pas encore joué","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","","093316b7-32a4-41bc-bdd5-0056a6881974"
"2018/04/17 12:37:13 PM GMT+2","Pas du tout","Pas du tout","Pas du tout","Pas du tout","Non / pas encore","0","Femme","Pas du tout","Pas du tout","Jamais, pas même au collège","Pas du tout","Non","Non","","","","","","","","","","","","","","","","","","","","","","","","","","","","","test","653f174e-c23f-4d3a-94f6-d26b53ac7168"
"2018/04/17 1:14:40 PM GMT+2","Beaucoup","Beaucoup","Beaucoup","Beaucoup","Non / pas encore","19","Homme","Énormément","Beaucoup","Jusqu'au bac","Énormément","Oui, mais je ne sais pas exactement ce que c'est","Oui","Ne s'applique pas : pas encore joué","Modifier l'ADN de la bactérie","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","","b53660ec-ab0d-407f-be6f-684e58b28860"
"2018/04/17 1:20:14 PM GMT+2","Moyennement","Moyennement","Énormément","Énormément","Non / pas encore","17","Homme","Énormément","Moyennement","Jusqu'au brevet","Beaucoup","Oui, mais je ne sais pas exactement ce que c'est","Oui","Ne s'applique pas : pas encore joué","Modifier l'ADN de la bactérie","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","difficile de répondre à l'intégralité des questions posées sans avoir joué a Hero.Coli","748f86ca-3b50-4ffa-b906-2232092c9a44"
"2018/04/17 1:21:00 PM GMT+2","Énormément","Beaucoup","Un peu","Énormément","Non / pas encore","40","Femme","Pas du tout","Énormément","Jusqu'à la license","Pas du tout","Non","Non","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3b1701cf-bd5d-46c0-861e-636be2c0e383"
"2018/04/17 1:22:49 PM GMT+2","Un peu","Moyennement","Pas du tout","Beaucoup","Non / pas encore","31","Homme","Beaucoup","Un peu","Jusqu'au brevet","Beaucoup","Non","Non","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1b552dbc-6c3a-41ff-9590-43e5ca61b927"
"2018/04/17 1:49:49 PM GMT+2","Un peu","Moyennement","Beaucoup","Beaucoup","Je viens d'y jouer pour la première fois","","","","","","","","","Beaucoup","Modifier l'ADN de la bactérie","Des protéines","Ampicilline","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","5","Je ne sais pas","Je ne sais pas","Je ne sais pas","Elle permet de se déplacer plus vite","Elle permet de se déplacer plus vite","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Elle permet de se déplacer plus vite","Elle permet de se déplacer plus vite","Devant les portes, quand la construction GFP est équipée","Les flagelles disparaissent l'un après l'autre, rapidement","Je ne sais pas","[pressé par le temps]","1b552dbc-6c3a-41ff-9590-43e5ca61b927"
"2018/04/17 1:55:59 PM GMT+2","Moyennement","Un peu","Beaucoup","Beaucoup","Non / pas encore","13","Homme","Énormément","Un peu","Jusqu'au brevet","Énormément","Oui, mais je ne sais pas exactement ce que c'est","Oui","Ne s'applique pas : pas encore joué","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","","0f262205-a4a1-43cb-8b40-03e0811d3cc9"
"2018/04/17 2:02:24 PM GMT+2","Beaucoup","Moyennement","Moyennement","Beaucoup","Non / pas encore","17","Homme","Beaucoup","Moyennement","Jusqu'au bac","Beaucoup","Oui, mais je ne sais pas exactement ce que c'est","Oui","Ne s'applique pas : pas encore joué","Je ne sais pas","Je ne sais pas","GFP","Je ne sais pas","Je ne sais pas","Je ne sais pas","2","1","3","Je ne sais pas","Je ne sais pas","3","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","","dba89696-c774-4ce0-9193-b735e68792a6"
"2018/04/17 2:04:35 PM GMT+2","Moyennement","Un peu","Beaucoup","Moyennement","Non / pas encore","15","Femme","Beaucoup","Un peu","Jusqu'au brevet","Beaucoup","Non","Non","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","e507f823-a88e-474a-a39e-29bc84da2b57"
"2018/04/17 2:11:16 PM GMT+2","Moyennement","Moyennement","Énormément","Énormément","Je viens d'y jouer pour la première fois","","","","","","","","","Beaucoup","Modifier l'ADN de la bactérie","Des séquences d'ADN","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","4","1","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Les briques ne sont pas dans le bon ordre","Je ne sais pas","Je ne sais pas","Les briques ne sont pas dans le bon ordre","Les briques ne sont pas dans le bon ordre","Les briques ne sont pas dans le bon ordre","Les briques ne sont pas dans le bon ordre","Les briques ne sont pas dans le bon ordre","Sous lumière bleue, quand la construction GFP est équipée","Les flagelles disparaissent l'un après l'autre, rapidement","Je ne sais pas","un jeux assez instructif, ils faut prendre son temps et établir une stratégie","748f86ca-3b50-4ffa-b906-2232092c9a44"
"2018/04/17 2:11:41 PM GMT+2","Beaucoup","Beaucoup","Énormément","Beaucoup","Je viens d'y jouer pour la première fois","","","","","","","","","Beaucoup","Modifier l'ADN de la bactérie","Des séquences d'ADN","Ampicilline","Je ne sais pas","Je ne sais pas","Je ne sais pas","4","1","1","3","Je ne sais pas","Je ne sais pas","Aucun de ces éléments","2","1","Je ne sais pas","Les briques ne sont pas dans le bon ordre","Elle permet de se déplacer plus vite","Elle produit la fluorescence verte","Les briques ne sont pas dans le bon ordre","Les briques ne sont pas dans le bon ordre","Les briques ne sont pas dans le bon ordre","Les briques ne sont pas dans le bon ordre","Les briques ne sont pas dans le bon ordre","Sous lumière bleue, quand la construction GFP est équipée","Les flagelles disparaissent l'un après l'autre, rapidement","Elle n'est active que dans les nuages d'arabinose.","","b53660ec-ab0d-407f-be6f-684e58b28860"
"2018/04/17 2:19:55 PM GMT+2","Énormément","Énormément","Énormément","Énormément","Non / pas encore","23","Homme","Énormément","Moyennement","Jusqu'au brevet","Énormément","Non","Oui","Ne s'applique pas : pas encore joué","Modifier l'ADN de la bactérie","Des séquences d'ADN","Terminateur","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","","7a8ea59e-0205-458e-afc3-89c588ef7e8f"
"2018/04/17 2:20:47 PM GMT+2","Beaucoup","Beaucoup","Beaucoup","Énormément","Non / pas encore","24","Femme","Énormément","Beaucoup","Jusqu'au brevet","Énormément","Non","Oui","Ne s'applique pas : pas encore joué","Modifier l'ADN de la bactérie","Des protéines","Ampicilline","3","Aucun de ces éléments","4","1","2","1","1","1","Je ne sais pas","5","Aucun de ces éléments","4","5","Je ne sais pas","Elle permet de résister aux antibiotiques","Elle produit la fluorescence verte","Elle permet de se déplacer plus vite","Les briques ne sont pas dans le bon ordre","Je ne sais pas","Elle produit la fluorescence verte","Elle produit la fluorescence verte en présence d'inducteur arabinose","Sous lumière bleue, quand la construction GFP est équipée","La bactérie meurt","Elle ne produit rien puisqu'elle s'induit elle-même","","5067f639-ea15-472f-8df6-8dd772770de7"
"2018/04/17 2:28:30 PM GMT+2","Beaucoup","Beaucoup","Moyennement","Moyennement","Non / pas encore","42","Homme","Moyennement","Moyennement","Jusqu'au bac","Moyennement","Oui, mais je ne sais pas exactement ce que c'est","Oui","Ne s'applique pas : pas encore joué","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","","ee66e268-120e-4711-a416-3246d124c852"
"2018/04/17 2:38:10 PM GMT+2","Moyennement","Un peu","Beaucoup","Moyennement","Je viens d'y jouer pour la première fois","","","","","","","","","Moyennement","Modifier l'ADN de la bactérie","Je ne sais pas","Ampicilline","Je ne sais pas","Je ne sais pas","5","4","1","3","3","Je ne sais pas","2","4","Je ne sais pas","5","2","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Sous lumière bleue, quand la construction GFP est équipée","Les flagelles disparaissent l'un après l'autre, rapidement","Je ne sais pas","j'ai été bloqué après avoir trouvé 3/5 petit machin ","e507f823-a88e-474a-a39e-29bc84da2b57"
"2018/04/17 2:46:38 PM GMT+2","Moyennement","Moyennement","Moyennement","Beaucoup","Je viens d'y jouer pour la première fois","","","","","","","","","Beaucoup","Modifier l'ADN de la bactérie","Des séquences d'ARN","Ampicilline","5","1","2","3","1","3","4","Je ne sais pas","3","2","4","5","2","Les briques ne sont pas dans le bon ordre","Les briques ne sont pas dans le bon ordre","Les briques ne sont pas dans le bon ordre","Elle produit la fluorescence verte","Les briques ne sont pas dans le bon ordre","Les briques ne sont pas dans le bon ordre","Les briques ne sont pas dans le bon ordre","Les briques ne sont pas dans le bon ordre","Sous lumière bleue, quand la construction GFP est équipée","Les flagelles disparaissent l'un après l'autre, rapidement","Je ne sais pas","","dba89696-c774-4ce0-9193-b735e68792a6"
"2018/04/17 2:56:59 PM GMT+2","Beaucoup","Beaucoup","Énormément","Beaucoup","Non / pas encore","42","Homme","Énormément","Beaucoup","Jusqu'au bac","Énormément","Non","Non","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","d1aec857-1c6d-4329-bc72-74b1e2cf4b9b"
"2018/04/17 2:58:18 PM GMT+2","Pas du tout","Pas du tout","Un peu","Pas du tout","Non / pas encore","22","Homme","Un peu","Pas du tout","Jusqu'au brevet","Un peu","Non","Non","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","cbd3ce09-90c0-40fa-aa21-de8a722075b2"
"2018/04/17 3:05:30 PM GMT+2","Moyennement","Moyennement","Beaucoup","Pas du tout","Non / pas encore","13","Homme","Beaucoup","Moyennement","Jusqu'au brevet","Beaucoup","Non","Non","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","f05d7d6a-fb43-4441-b055-29f539904d24"
"2018/04/17 3:05:50 PM GMT+2","Pas du tout","Pas du tout","Énormément","Un peu","Non / pas encore","11","Femme","Énormément","Pas du tout","Jamais, pas même au collège","Énormément","Non","Non","","","","","","","","","","","","","","","","","","","","","","","","","","","","","mettre des questions plus sur les jeux vidéos et un peu moins sur la biologie","079df34d-ce0e-4b19-941f-b81b10db38fc"
"2018/04/17 3:26:57 PM GMT+2","Pas du tout","Pas du tout","Énormément","Beaucoup","Je viens d'y jouer pour la première fois","","","","","","","","","Un peu","Modifier l'ADN de la bactérie","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Sous lumière bleue, tout le temps","La bactérie devient lumineuse","Je ne sais pas","","079df34d-ce0e-4b19-941f-b81b10db38fc"
"2018/04/17 3:30:48 PM GMT+2","Énormément","Énormément","Énormément","Énormément","Je viens d'y jouer pour la première fois","","","","","","","","","Beaucoup","Modifier l'ADN de la bactérie","Des séquences d'ADN","Ampicilline","Aucun de ces éléments","Je ne sais pas","3","Je ne sais pas","1","4","2","Je ne sais pas","1","Je ne sais pas","2","5","Je ne sais pas","Les briques ne sont pas dans le bon ordre","Elle permet de se déplacer plus vite","Elle produit la fluorescence verte","Elle produit la fluorescence verte","Les briques ne sont pas dans le bon ordre","Les briques ne sont pas dans le bon ordre","Les briques ne sont pas dans le bon ordre","Les briques ne sont pas dans le bon ordre","Sous lumière bleue, quand la construction GFP est équipée","Les flagelles disparaissent l'un après l'autre, rapidement","Je ne sais pas","c'etait bien sympas ! l'univers rappel le jeu ""Spore"" sans le coté création et un peut plus ""Puzzle games"" vraiment cool comme concept !","7a8ea59e-0205-458e-afc3-89c588ef7e8f"
"2018/04/17 3:34:34 PM GMT+2","Moyennement","Moyennement","Beaucoup","Moyennement","Non / pas encore","17","Homme","Beaucoup","Un peu","Jusqu'au bac","Beaucoup","Oui, mais je ne sais pas exactement ce que c'est","Oui","Ne s'applique pas : pas encore joué","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","","cee3fcf7-d49d-4889-9778-9ae768c39d82"
"2018/04/17 4:03:07 PM GMT+2","Un peu","Pas du tout","Moyennement","Un peu","Non / pas encore","12 ","Autre","Un peu","Moyennement","Jamais, pas même au collège","Moyennement","Non","Oui","Ne s'applique pas : pas encore joué","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Elle produit la fluorescence verte en présence d'inducteur arabinose","Elle permet de résister aux antibiotiques","Elle permet de se déplacer plus vite","Elle produit la fluorescence verte","Les briques ne sont pas dans le bon ordre","Les briques ne sont pas dans le bon ordre","Je ne sais pas","Sous lumière bleue, tout le temps","Je ne sais pas","Elle ne produit rien puisqu'elle s'induit elle-même","","e4ccc57d-4039-4ef0-98fe-283233bea8be"
"2018/04/17 4:12:51 PM GMT+2","Moyennement","Moyennement","Beaucoup","Pas du tout","Je viens d'y jouer pour la première fois","","","","","","","","","Moyennement","Modifier l'ADN de la bactérie","Des protéines","Arabinose","2","1","1","Je ne sais pas","4","4","3","1","4","1","3","4","1","Elle produit la fluorescence verte","Elle produit la fluorescence verte en présence d'inducteur arabinose","Elle produit la fluorescence verte","Elle produit la fluorescence verte en présence d'inducteur arabinose","Elle produit la fluorescence verte","Elle permet de se déplacer plus vite","Elle produit la fluorescence verte en présence d'inducteur arabinose","Les briques ne sont pas dans le bon ordre","Sous lumière bleue, quand la construction GFP est équipée","Les flagelles disparaissent l'un après l'autre, rapidement","Elle ne produit rien puisqu'elle s'induit elle-même","","50b59e86-0802-4144-a23b-700a99855a00"
"2018/04/17 4:15:58 PM GMT+2","Moyennement","Beaucoup","Énormément","Énormément","Je viens d'y jouer pour la première fois","","","","","","","","","Moyennement","Modifier l'ADN de la bactérie","Des séquences d'ADN","Je ne sais pas","Aucun de ces éléments","Aucun de ces éléments","2","Aucun de ces éléments","1","3","Aucun de ces éléments","Aucun de ces éléments","Aucun de ces éléments","Aucun de ces éléments","Aucun de ces éléments","5","Aucun de ces éléments","Les briques ne sont pas dans le bon ordre","Elle produit la fluorescence verte","Elle permet de se déplacer plus vite","Les briques ne sont pas dans le bon ordre","Les briques ne sont pas dans le bon ordre","Elle permet de résister aux antibiotiques","Les briques ne sont pas dans le bon ordre","Les briques ne sont pas dans le bon ordre","Sous lumière bleue, quand la construction GFP est équipée","Les flagelles disparaissent l'un après l'autre, rapidement","Je ne sais pas","","6627912f-da9b-4406-a119-7b92c53af450"
"2018/04/17 4:26:00 PM GMT+2","Un peu","Un peu","Beaucoup","Moyennement","Je viens d'y jouer pour la première fois","","","","","","","","","Un peu","Modifier l'ADN de la bactérie","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Aucun de ces éléments","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","5","Je ne sais pas","Les briques ne sont pas dans le bon ordre","Je ne sais pas","Je ne sais pas","Je ne sais pas","Les briques ne sont pas dans le bon ordre","Je ne sais pas","Les briques ne sont pas dans le bon ordre","Les briques ne sont pas dans le bon ordre","Sous lumière bleue, tout le temps","Rien","Je ne sais pas","compliqué...","cee3fcf7-d49d-4889-9778-9ae768c39d82"
"2018/04/17 4:29:34 PM GMT+2","Moyennement","Moyennement","Moyennement","Moyennement","Non / pas encore","13","Femme","Beaucoup","Moyennement","Jamais, pas même au collège","Beaucoup","Non","Oui","Ne s'applique pas : pas encore joué","Faire bouger la bactérie","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","","9f4e5e1b-a650-45aa-b72d-b9de5e3083b2"
"2018/04/17 4:32:07 PM GMT+2","Moyennement","Moyennement","Beaucoup","Beaucoup","Non / pas encore","50","Femme","Moyennement","Un peu","Jusqu'au bac","Pas du tout","Non","Oui","Ne s'applique pas : pas encore joué","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","pas evidente les dernières questions :-)","4ddd709e-f420-4586-8327-0e4da00cd9b5"
"2018/04/17 4:43:28 PM GMT+2","Moyennement","Un peu","Beaucoup","Beaucoup","Je viens d'y jouer pour la première fois","","","","","","","","","Moyennement","Modifier l'ADN de la bactérie","Des séquences d'ADN","Arabinose","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Sous lumière bleue, tout le temps","La bactérie meurt","Elle ne produit rien puisqu'elle s'induit elle-même","","e4ccc57d-4039-4ef0-98fe-283233bea8be"
