,Timestamp,Want to learn more about Biology,Want to learn more about Synthetic biology,Want to learn more about Video games,Want to learn more about Engineering,Played Hero.Coli,Age,Gender,Interested in video games,Interested in biology,Studied biology,Play video games,Heard about Synthetic biology or BioBricks,Volunteered to answer more questions,Enjoyed playing,Genotype and phenotype,BioBricks and devices composition,Ampicillin antibiotic,Name: Plasmid,Function: TER,Name: PR,Function - game: CDS,Name: TER,Function - biology: CDS,Name: RBS,Example: CDS,Name: CDS,Function: PR,Function: RBS,Function: Plasmid,Name: Operator XXX,Device: RBS:PCONS:FLHDC:TER XXX,Device: PCONS:RBS:FLHDC:TER,Device: PBAD:RBS:GFP:TER,Device: PBAD:GFP:RBS:TER XXX,Device: GFP:RBS:PCONS:TER XXX,Device: PCONS:GFP:RBS:TER XXX,Device: AMPR:RBS:PCONS:TER XXX,Device: RBS:PCONS:AMPR:TER XXX,Green fluorescence,Unequip the movement device: effect,Device: PBAD:RBS:ARA:TER,Remarks,userId,Language,Temporality
577,2018-04-11 13:42:53+00:00,Moderately,Moderately,Extremely,Extremely,I just played for the first time,,,,,,,,,A lot,Edit the DNA of the bacterium,DNA sequences,Ampicillin,Plasmid,TER,CDS,CDS,TER,None of these,RBS,I don't know,I don't know,PR,RBS,Plasmid,PR,The bricks are not well-ordered,It makes it possible to move faster,It generates green fluorescence in presence of arabinose inducer,The bricks are not well-ordered,The bricks are not well-ordered,The bricks are not well-ordered,The bricks are not well-ordered,The bricks are not well-ordered,"Under blue light, when the GFP device is equipped",Flagella quickly disappear one by one,It is active only in arabinose clouds,,ad7b68aa-c031-4368-80c5-ee26e71594f4,fr,undefined
578,2018-04-11 13:55:56+00:00,Extremely,Extremely,Extremely,Extremely,I just played for the first time,,,,,,,,,Moderately,Edit the DNA of the bacterium,DNA sequences,Ampicillin,I don't know,TER,I don't know,PR,TER,I don't know,RBS,I don't know,I don't know,I don't know,I don't know,I don't know,None of these,It makes it possible to move faster,The bricks are not well-ordered,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,"Under blue light, all the time",Flagella quickly disappear one by one,It is active only in arabinose clouds,instructif,29b739fc-4f9f-4f5e-bfee-8ba12de4b7fa,fr,undefined
579,2018-04-11 13:58:30+00:00,Moderately,Not at all,Extremely,Extremely,No / not yet,15,Female,Extremely,Not at all,Until the end of middle school,Moderately,"Yes, but I don't exactly know what it means",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3006900c-37d2-44dd-a8e6-674f6fd1cae3,fr,undefined
580,2018-04-11 14:16:35+00:00,Not at all,Not at all,Extremely,Extremely,I just played for the first time,,,,,,,,,Moderately,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,"Under blue light, when the GFP device is equipped",I don't know,I don't know,,29b739fc-4f9f-4f5e-bfee-8ba12de4b7fa,fr,undefined
581,2018-04-11 14:19:32+00:00,Moderately,Not at all,A lot,Extremely,No / not yet,16,Female,Moderately,Not at all,Until the end of middle school,Moderately,No,Yes,A lot,Divide the bacterium,I don't know,Ampicillin,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,"Under blue light, all the time",I don't know,I don't know,,6850e851-d998-4d79-955d-451a7c495884,fr,undefined
582,2018-04-11 14:23:53+00:00,A lot,A lot,Moderately,Moderately,No / not yet,15,Female,Moderately,Moderately,Until the end of high school,Rarely,No,Yes,A bit,Edit the DNA of the bacterium,RNA sequences,Ampicillin,I don't know,TER,PR,I don't know,TER,RBS,CDS,I don't know,PR,I don't know,None of these,I don't know,CDS,I don't know,I don't know,I don't know,I don't know,I don't know,The bricks are not well-ordered,I don't know,I don't know,"Under blue light, when the GFP device is equipped",Flagella quickly disappear one by one,I don't know,,8e132b9d-c665-443c-8b14-e79e1583a8af,fr,undefined
583,2018-04-11 14:49:25+00:00,Extremely,A lot,A lot,Extremely,No / not yet,25,Male,Extremely,A lot,Until the end of high school,Extremely,"Yes, but I don't exactly know what it means",Yes,Not applicable: not played yet,Edit the DNA of the bacterium,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,Flagella quickly disappear one by one,I don't know,,c595e8cc-74d4-4bfc-ac20-ee758c7e58a1,fr,undefined
584,2018-04-11 14:53:31+00:00,Extremely,A lot,Extremely,A lot,I just played for the first time,,,,,,,,,A lot,Edit the DNA of the bacterium,DNA sequences,Ampicillin,Plasmid,None of these,TER,CDS,None of these,Plasmid,CDS,CDS,TER,I don't know,RBS,TER,I don't know,The bricks are not well-ordered,It makes it possible to move faster,It generates green fluorescence,The bricks are not well-ordered,The bricks are not well-ordered,The bricks are not well-ordered,The bricks are not well-ordered,The bricks are not well-ordered,"Under blue light, when the GFP device is equipped",Flagella quickly disappear one by one,I don't know,,d06aa7a1-c36f-4f5b-b5cd-fe1845dd2801,fr,undefined
585,2018-04-11 14:59:27+00:00,A lot,A lot,Extremely,Extremely,No / not yet,15,Female,Extremely,A lot,Until the end of high school,Moderately,No,Yes,Not applicable: not played yet,I don't know,DNA sequences,Ampicillin,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,None of these,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,"Under blue light, when the GFP device is equipped",Flagella quickly disappear one by one,It is active only in arabinose clouds,"Je ne connais vraiment pas grand chose à la biologie de synthèse, du coup, j'ai répondu a de nombreuses reprise ""Je ne sais pas"".",c3c1d772-792d-4dd0-a05d-45d4da5187e7,fr,undefined
586,2018-04-11 15:11:18+00:00,Extremely,Extremely,Extremely,Extremely,I just played for the first time,,,,,,,,,A lot,Edit the DNA of the bacterium,RNA sequences,Ampicillin,I don't know,PR,I don't know,I don't know,TER,I don't know,I don't know,CDS,Plasmid,I don't know,RBS,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,Nothing,I don't know,,c3c1d772-792d-4dd0-a05d-45d4da5187e7,fr,undefined
