,Timestamp,Are you interested in learning more about...Biology,Are you interested in learning more about...Synthetic biology,Are you interested in learning more about...Video games,Are you interested in learning more about...Engineering,Have you ever played Hero.Coli?,How old are you?,What is your gender?,Are you interested in video games?,Are you interested in biology?,How long have you studied biology?,Do you play video games?,"Have you ever heard about synthetic biology or BioBricks, outside of Hero.Coli?",Do you volunteer to contribute to our study by answering 9 more questions? (5 min),Did you enjoy playing the game?,"In order to modify the abilities of the bacterium, you have to...",What are BioBricks and devices?,Find the antibiotic:,Plasmid is...,Represents the end of a device... TER,Promoter is...,Represents the ability given... CDS,Terminator is...,Codes a protein... CDS,RBS is...,Can represent GFP... CDS,Coding Sequence is...,Controls when the device is active... PR,"Controls the level of expression, and thus how much the ability will be affected... RBS",Makes it possible to equip an additional device. PLASMID,Operator is... XXX,What does this device do? RBS:PCONS:FLHDC:TER XXX,What does this device do? PCONS:RBS:FLHDC:TER,What does this device do? PBAD:RBS:GFP:TER,What does this device do? PBAD:GFP:TBS:TER XXX,What does this device do? GFP:RBS:PCONS:TER XXX,What does this device do? PCONS:GFP:RBS:TER XXX,What does this device do? AMPR:RBS:PCONS:TER XXX,What does this device do? RBS:PCONS:AMPR:TER XXX,When does green fluorescence happen?,What happens when you unequip the movement device?,Last question. Next page only contains remarks.Guess: you have crafted a functional device containing an arabinose-induced promoter and an arabinose Coding Sequence (CDS). What will happen?,You can write down remarks here.,userId,Language,Temporality
489,2018-04-21 14:00:01+00:00,Moderately,Moderately,A lot,A lot,No / not yet,16,Female,A lot,Moderately,Not even in middle school,Rarely,No,Yes,Not applicable: not played yet,I don't know,I don't know,Ampicillin,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,,23e9fbde-fd65-4163-afbd-1394e0d1fa73,fr,undefined
490,2018-04-21 14:00:21+00:00,Slightly,Not at all,Extremely,Not at all,I just played for the first time,,,,,,,,,Moderately,Edit the DNA of the bacterium,RNA sequences,Ampicillin,2,2,3,2,3,2,3,3,3,2,2,2,3,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,"Under blue light, all the time",Nothing,I don't know,,c959cf5e-4f69-4990-a662-cd355ca85cf7,fr,undefined
491,2018-04-21 14:08:50+00:00,A lot,Slightly,Not at all,Moderately,No / not yet,51,Female,Not at all,Moderately,Until bachelor's degree,Not at all,No,Yes,Not applicable: not played yet,Edit the DNA of the bacterium,DNA sequences,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,"It produces more and more arabinose after being induced, because it induces itself",,69a7c168-ac95-4fe8-bdcd-7866a6c6ab04,fr,undefined
492,2018-04-21 14:10:16+00:00,Slightly,Slightly,A lot,Moderately,I just played for the first time,,,,,,,,,A bit,Move the bacterium,Proteins,Ampicillin,5,I don't know,I don't know,4,I don't know,I don't know,I don't know,I don't know,I don't know,2,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,"In front of the doors, when the GFP device is equipped",The bacterium glows,I don't know,,91280388-8cf6-4b93-ae2b-69d955368d1c,fr,undefined
493,2018-04-21 14:21:33+00:00,Slightly,Moderately,A lot,Slightly,I just played for the first time,,,,,,,,,Moderately,Edit the DNA of the bacterium,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,"In front of the doors, when the GFP device is equipped",Nothing,I don't know,,bfe573c5-4a87-4a2d-a0e8-a5f12e491735,fr,undefined
494,2018-04-21 14:29:01+00:00,Extremely,Extremely,A lot,Extremely,No / not yet,42,Female,Moderately,Extremely,Until the end of high school,Not at all,No,Yes,Not applicable: not played yet,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,,86d97a4c-a06a-4c29-a422-054a850fda7f,fr,undefined
495,2018-04-21 14:29:53+00:00,Slightly,Moderately,A lot,Moderately,No / not yet,15,Female,A lot,Slightly,Not even in middle school,Extremely,No,Yes,Not applicable: not played yet,Move the bacterium,Amino-acids,I don't know,2,1,2,None of these,4,1,3,5,I don't know,1,2,I don't know,5,The bricks are not well-ordered,It generates green fluorescence in presence of arabinose inducer,It makes it possible to move faster,It generates antibiotic resistance,I don't know,The bricks are not well-ordered,It generates green fluorescence,It generates green fluorescence in presence of arabinose inducer,"Under blue light, when the GFP device is equipped",Flagella quickly disappear one by one,It produces nothing since it induces itself,,b20c3f09-9179-43ca-9fb7-e845e97c8fd5,fr,undefined
496,2018-04-21 15:04:47+00:00,Moderately,Moderately,Moderately,Moderately,I just played for the first time,,,,,,,,,Moderately,Edit the DNA of the bacterium,I don't know,Ampicillin,5,None of these,2,4,None of these,I don't know,4,2,I don't know,1,None of these,5,I don't know,The bricks are not well-ordered,It makes it possible to move faster,It generates green fluorescence in presence of arabinose inducer,The bricks are not well-ordered,The bricks are not well-ordered,The bricks are not well-ordered,The bricks are not well-ordered,The bricks are not well-ordered,"Under blue light, when the GFP device is equipped",Flagella quickly disappear one by one,I don't know,,23e9fbde-fd65-4163-afbd-1394e0d1fa73,fr,undefined
497,2018-04-21 15:12:16+00:00,Moderately,Not at all,A lot,Not at all,I just played for the first time,,,,,,,,,Moderately,Edit the DNA of the bacterium,DNA sequences,Terminator,5,3,1,5,4,1,3,1,None of these,3,5,3,4,The bricks are not well-ordered,The bricks are not well-ordered,The bricks are not well-ordered,It generates green fluorescence,It generates green fluorescence in presence of arabinose inducer,It makes it possible to move faster,It generates green fluorescence,It generates antibiotic resistance,"In front of the doors, all the time",The bacterium dies,"It produces more and more arabinose after being induced, because it induces itself",,b20c3f09-9179-43ca-9fb7-e845e97c8fd5,fr,undefined
498,2018-04-21 15:14:02+00:00,Moderately,Moderately,A lot,A lot,No / not yet,16,Male,Extremely,Not at all,Until the end of middle school,Extremely,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,614ee396-283c-4621-9834-cb914244cc52,fr,undefined
499,2018-04-21 15:23:28+00:00,Extremely,A lot,Not at all,Slightly,I just played for the first time,,,,,,,,,A lot,Edit the DNA of the bacterium,DNA sequences,Ampicillin,5,1,I don't know,4,1,None of these,2,3,3,None of these,4,5,I don't know,The bricks are not well-ordered,The bricks are not well-ordered,The bricks are not well-ordered,It generates green fluorescence,The bricks are not well-ordered,It generates green fluorescence in presence of arabinose inducer,I don't know,I don't know,"Under blue light, when the GFP device is equipped",Flagella quickly disappear one by one,I don't know,,393066a0-8cbb-495d-aeae-06f131b2d12a,fr,undefined
500,2018-04-21 15:25:35+00:00,A lot,Slightly,Not at all,Slightly,I just played for the first time,,,,,,,,,Moderately,Edit the DNA of the bacterium,DNA sequences,Arabinose,5,1,2,4,None of these,3,None of these,4,3,2,4,5,I don't know,It generates green fluorescence,It generates green fluorescence,It makes it possible to move faster,It makes it possible to move faster,I don't know,It makes it possible to move faster,I don't know,It generates antibiotic resistance,"In front of the doors, when the GFP device is equipped",Flagella quickly disappear one by one,I don't know,,69a7c168-ac95-4fe8-bdcd-7866a6c6ab04,fr,undefined
501,2018-04-21 15:26:54+00:00,Moderately,Moderately,Extremely,Moderately,No / not yet,39,Male,Extremely,Not at all,Until the end of middle school,A lot,"Yes, but I don't exactly know what it means",Yes,Not applicable: not played yet,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,4,1,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,,ad3ddd76-3ff0-44b7-8ea7-56c1c896b4ee,fr,undefined
502,2018-04-21 15:31:30+00:00,A lot,A lot,Extremely,Extremely,No / not yet,19,Female,A lot,Moderately,Until the end of high school,Moderately,"Yes, but I don't exactly know what it means",Yes,Not applicable: not played yet,Edit the DNA of the bacterium,I don't know,Ampicillin,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,,8af8b090-dfe5-4e15-bc78-cf4a7d2b1dc8,fr,undefined
503,2018-04-21 15:35:47+00:00,Moderately,Extremely,A lot,Extremely,No / not yet,21,Female,Slightly,Slightly,Until the end of middle school,Rarely,No,Yes,Not applicable: not played yet,Edit the DNA of the bacterium,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,,f8920e82-1cdf-43a0-aedb-06ddaf9960d6,fr,undefined
504,2018-04-21 16:02:19+00:00,Slightly,Not at all,Extremely,Moderately,I just played for the first time,,,,,,,,,Moderately,Edit the DNA of the bacterium,DNA sequences,I don't know,5,1,I don't know,I don't know,1,None of these,4,3,I don't know,I don't know,I don't know,2,I don't know,The bricks are not well-ordered,It generates green fluorescence,The bricks are not well-ordered,I don't know,The bricks are not well-ordered,I don't know,The bricks are not well-ordered,The bricks are not well-ordered,"Under blue light, when the GFP device is equipped",Nothing,I don't know,,614ee396-283c-4621-9834-cb914244cc52,fr,undefined
505,2018-04-21 16:05:13+00:00,Moderately,Moderately,A lot,Moderately,I just played for the first time,,,,,,,,,A lot,Edit the DNA of the bacterium,DNA sequences,Ampicillin,I don't know,1,I don't know,4,1,None of these,2,I don't know,3,2,5,5,3,The bricks are not well-ordered,It makes it possible to move faster,It generates green fluorescence in presence of arabinose inducer,It generates green fluorescence in presence of arabinose inducer,The bricks are not well-ordered,It generates green fluorescence,The bricks are not well-ordered,The bricks are not well-ordered,"Under blue light, when the GFP device is equipped",Flagella quickly disappear one by one,It is active only in arabinose clouds,"Instructif, merci !",ad3ddd76-3ff0-44b7-8ea7-56c1c896b4ee,fr,undefined
506,2018-04-21 16:34:31+00:00,Moderately,Extremely,A lot,Extremely,No / not yet,21,Female,Slightly,Moderately,Until the end of middle school,Not at all,No,Yes,A bit,Edit the DNA of the bacterium,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,The bricks are not well-ordered,It generates green fluorescence,It generates antibiotic resistance,The bricks are not well-ordered,The bricks are not well-ordered,The bricks are not well-ordered,The bricks are not well-ordered,The bricks are not well-ordered,"Under blue light, all the time",I don't know,I don't know,"Je trouve que le jeux nous donne beaucoup d’information d'un coup, il faudrait peut-être simplifier les ""logos"".",f8920e82-1cdf-43a0-aedb-06ddaf9960d6,fr,undefined
507,2018-04-21 16:37:15+00:00,A lot,A lot,Extremely,Extremely,I just played for the first time,,,,,,,,,A lot,Edit the DNA of the bacterium,DNA sequences,Ampicillin,None of these,None of these,5,3,1,3,4,3,3,None of these,4,5,2,The bricks are not well-ordered,It makes it possible to move faster,It generates green fluorescence in presence of arabinose inducer,The bricks are not well-ordered,The bricks are not well-ordered,The bricks are not well-ordered,The bricks are not well-ordered,The bricks are not well-ordered,"Under blue light, when the GFP device is equipped",Flagella quickly disappear one by one,I don't know,,8af8b090-dfe5-4e15-bc78-cf4a7d2b1dc8,fr,undefined
508,2018-04-21 17:25:34+00:00,Extremely,Extremely,A lot,Extremely,I just played for the first time,,,,,,,,,Not applicable: not played yet,Gather nanobots,DNA sequences,I don't know,I don't know,5,I don't know,4,I don't know,1,None of these,I don't know,1,4,4,4,1,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,salma,e1fefc83-77e2-4062-ad7c-10cb30806d98,fr,undefined
509,2018-04-21 17:27:12+00:00,Slightly,Slightly,Extremely,Moderately,I just played for the first time,,,,,,,,,Not applicable: not played yet,Gather nanobots,RNA sequences,Ampicillin,None of these,None of these,None of these,None of these,None of these,None of these,None of these,None of these,None of these,None of these,None of these,None of these,None of these,The bricks are not well-ordered,The bricks are not well-ordered,The bricks are not well-ordered,The bricks are not well-ordered,The bricks are not well-ordered,The bricks are not well-ordered,The bricks are not well-ordered,The bricks are not well-ordered,"Under blue light, when the GFP device is equipped",The bacterium glows,It produces arabinose all the time,,5b1e498b-f8f5-41a6-a968-302b0abcca7b,fr,undefined
510,2018-04-22 08:48:32+00:00,Extremely,Extremely,Extremely,Extremely,No / not yet,40,Female,Moderately,Extremely,Until the end of high school,Rarely,"Yes, but I don't exactly know what it means",Yes,Not applicable: not played yet,Edit the DNA of the bacterium,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,"In front of the doors, when the GFP device is equipped",The bacterium glows,"It produces more and more arabinose after being induced, because it induces itself",,bb0ff537-9a41-493f-9d20-153725b91702,fr,undefined
511,2018-04-23 08:54:02+00:00,A lot,Not at all,A lot,A lot,I played it some time ago,22,Male,Extremely,Moderately,Until the end of high school,Extremely,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9d2935bd-4fad-4c82-a4b5-218181c72dd6,fr,undefined
512,2018-04-23 15:32:23+00:00,A lot,A lot,A lot,A lot,No / not yet,16,Male,A lot,Moderately,Until the end of high school,A lot,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74a1a7f8-190d-4c13-9dcd-d723f6d60c4a,fr,undefined
513,2018-04-23 15:55:31+00:00,Moderately,Moderately,A lot,A lot,I just played for the first time,,,,,,,,,Moderately,Edit the DNA of the bacterium,DNA sequences,Ampicillin,5,None of these,I don't know,4,1,3,I don't know,I don't know,None of these,2,None of these,None of these,None of these,The bricks are not well-ordered,It generates antibiotic resistance,It generates green fluorescence in presence of arabinose inducer,It generates antibiotic resistance,The bricks are not well-ordered,It generates green fluorescence,The bricks are not well-ordered,The bricks are not well-ordered,"In front of the doors, when the GFP device is equipped",Flagella quickly disappear one by one,It is active only in arabinose clouds,,74a1a7f8-190d-4c13-9dcd-d723f6d60c4a,fr,undefined
514,2018-04-24 11:09:08+00:00,Slightly,Moderately,Extremely,Moderately,No / not yet,12,Male,Extremely,Not at all,Not even in middle school,Extremely,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8d955361-51eb-4b84-a7ea-3e325cb075c2,fr,undefined
515,2018-04-24 11:09:19+00:00,Moderately,A lot,Extremely,A lot,No / not yet,10 ,Male,A lot,A lot,Not even in middle school,A lot,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8da28fc5-1874-4c51-bff5-c5bf92092d62,fr,undefined
516,2018-04-24 11:09:35+00:00,Moderately,Moderately,Extremely,A lot,No / not yet,12,Male,Extremely,Moderately,Not even in middle school,Extremely,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cc6b6dcf-fe83-4783-b874-306c570c88a6,fr,undefined
517,2018-04-24 11:11:18+00:00,Slightly,Not at all,Extremely,Not at all,No / not yet,12,Male,Extremely,Slightly,Not even in middle school,Extremely,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3e9a84bb-79e2-4cec-872a-8a8f5e017865,fr,undefined
518,2018-04-24 11:42:19+00:00,Moderately,Not at all,Slightly,Moderately,No / not yet,12,Male,Slightly,Moderately,Until the end of middle school,Rarely,"Yes, but I don't exactly know what it means",Yes,Not applicable: not played yet,Edit the DNA of the bacterium,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,The bacterium dies,I don't know,,daedb3c9-2dc0-496c-af1f-d1fd37ba7e86,fr,undefined
519,2018-04-24 12:15:05+00:00,Extremely,A lot,A lot,Moderately,No / not yet,12,Male,Extremely,A lot,Until the end of middle school,Extremely,"Yes, but I don't exactly know what it means",Yes,Not applicable: not played yet,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,1,None of these,5,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,,9ea63ec1-ea3b-43ff-92cf-05aa50ccfafd,fr,undefined
520,2018-04-24 12:15:34+00:00,A lot,Moderately,A lot,A lot,No / not yet,13,Male,Moderately,Slightly,Not even in middle school,Moderately,No,Yes,Not applicable: not played yet,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,1,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,,9fe6ae61-bcbd-4086-8e64-832fb018a439,fr,undefined
521,2018-04-24 12:30:58+00:00,Moderately,Moderately,Extremely,Moderately,No / not yet,12,Male,Extremely,Not at all,Not even in middle school,Extremely,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b601a489-62e0-40c4-9c15-4031843afba4,fr,undefined
522,2018-04-24 12:35:42+00:00,Not at all,Not at all,A lot,Not at all,No / not yet,12,Male,Extremely,Not at all,Not even in middle school,Extremely,No,Yes,A lot,I don't know,I don't know,I don't know,I don't know,2,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,,265cae4d-4cf9-49e0-a02e-91c802b10e5a,fr,undefined
523,2018-04-24 12:52:08+00:00,A lot,Slightly,A lot,A lot,I just played for the first time,,,,,,,,,Moderately,Edit the DNA of the bacterium,DNA sequences,I don't know,I don't know,None of these,I don't know,None of these,1,None of these,4,I don't know,I don't know,2,I don't know,None of these,3,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,"Under blue light, when the GFP device is equipped",The bacterium glows,I don't know,,9fe6ae61-bcbd-4086-8e64-832fb018a439,fr,undefined
524,2018-04-24 12:52:17+00:00,A lot,A lot,Extremely,Moderately,I just played for the first time,,,,,,,,,Moderately,Edit the DNA of the bacterium,RNA sequences,I don't know,None of these,I don't know,1,I don't know,I don't know,I don't know,I don't know,I don't know,3,None of these,4,5,I don't know,The bricks are not well-ordered,The bricks are not well-ordered,The bricks are not well-ordered,The bricks are not well-ordered,The bricks are not well-ordered,It generates green fluorescence in presence of arabinose inducer,It makes it possible to move faster,The bricks are not well-ordered,"Under blue light, all the time",Flagella quickly disappear one by one,I don't know,,9ea63ec1-ea3b-43ff-92cf-05aa50ccfafd,fr,undefined
525,2018-04-24 12:59:20+00:00,Slightly,Slightly,Slightly,Moderately,I just played for the first time,,,,,,,,,A lot,Edit the DNA of the bacterium,DNA sequences,Ampicillin,I don't know,1,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,The bricks are not well-ordered,It generates green fluorescence,The bricks are not well-ordered,The bricks are not well-ordered,It makes it possible to move faster,The bricks are not well-ordered,The bricks are not well-ordered,The bricks are not well-ordered,"Under blue light, all the time",The bacterium dies,I don't know,,daedb3c9-2dc0-496c-af1f-d1fd37ba7e86,fr,undefined
526,2018-04-24 13:00:04+00:00,A lot,Moderately,A lot,A lot,No / not yet,18,Male,Extremely,Moderately,Not even in middle school,A lot,"Yes, but I don't exactly know what it means",Yes,Not applicable: not played yet,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,1,5,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,,69835f7b-13f1-4e3d-9f2e-c17e0f54c218,fr,undefined
527,2018-04-24 13:01:23+00:00,Moderately,Moderately,Extremely,Moderately,I just played for the first time,,,,,,,,,A bit,Edit the DNA of the bacterium,DNA sequences,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,It generates green fluorescence,The bricks are not well-ordered,The bricks are not well-ordered,It generates green fluorescence,I don't know,It generates antibiotic resistance,It generates green fluorescence,It makes it possible to move faster,"In front of the doors, all the time",Nothing,It is active only in arabinose clouds,,b601a489-62e0-40c4-9c15-4031843afba4,fr,undefined
528,2018-04-24 13:08:09+00:00,Not at all,Not at all,Extremely,Not at all,I just played for the first time,,,,,,,,,Moderately,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,,265cae4d-4cf9-49e0-a02e-91c802b10e5a,fr,undefined
529,2018-04-24 13:26:24+00:00,Extremely,Extremely,A lot,Extremely,No / not yet,20,Male,Extremely,Extremely,Until the end of high school,Extremely,"Yes, but I don't exactly know what it means",Yes,Not applicable: not played yet,Edit the DNA of the bacterium,DNA sequences,Ampicillin,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,"Under blue light, when the GFP device is equipped",The bacterium dies,It is active only in arabinose clouds,,94abd890-c3d9-4925-9483-7480d4c865a6,fr,undefined
530,2018-04-24 13:28:11+00:00,Extremely,A lot,A lot,Moderately,No / not yet,20,Female,A lot,Extremely,Until bachelor's degree,Moderately,"Yes, but I don't exactly know what it means",Yes,Not applicable: not played yet,Edit the DNA of the bacterium,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,,3d75c635-4d81-4ce9-85e8-ce1f91b3b372,fr,undefined
531,2018-04-24 13:59:49+00:00,A lot,A lot,A lot,Moderately,I just played for the first time,,,,,,,,,A lot,Edit the DNA of the bacterium,DNA sequences,I don't know,I don't know,None of these,I don't know,4,None of these,4,3,1,5,5,I don't know,I don't know,I don't know,The bricks are not well-ordered,I don't know,The bricks are not well-ordered,The bricks are not well-ordered,It makes it possible to move faster,It generates green fluorescence,I don't know,The bricks are not well-ordered,"Under blue light, all the time",Nothing,I don't know,jai aimé le jeu et c'est musique,69835f7b-13f1-4e3d-9f2e-c17e0f54c218,fr,undefined
532,2018-04-24 14:18:32+00:00,Extremely,A lot,A lot,Moderately,I just played for the first time,,,,,,,,,Moderately,Edit the DNA of the bacterium,DNA sequences,Ampicillin,5,1,3,2,1,I don't know,1,2,I don't know,4,4,2,I don't know,The bricks are not well-ordered,It makes it possible to move faster,It generates green fluorescence in presence of arabinose inducer,It generates green fluorescence,The bricks are not well-ordered,I don't know,The bricks are not well-ordered,The bricks are not well-ordered,I don't know,I don't know,I don't know,,3d75c635-4d81-4ce9-85e8-ce1f91b3b372,fr,undefined
533,2018-04-24 14:19:07+00:00,Extremely,Extremely,Extremely,Extremely,I just played for the first time,,,,,,,,,Extremely,Edit the DNA of the bacterium,DNA sequences,Ampicillin,1,1,2,3,1,3,4,3,2,3,4,5,2,The bricks are not well-ordered,The bricks are not well-ordered,It generates green fluorescence,The bricks are not well-ordered,The bricks are not well-ordered,It generates green fluorescence in presence of arabinose inducer,The bricks are not well-ordered,The bricks are not well-ordered,"Under blue light, all the time",Flagella quickly disappear one by one,It is active only in arabinose clouds,,94abd890-c3d9-4925-9483-7480d4c865a6,fr,undefined
534,2018-04-24 14:19:27+00:00,Moderately,Moderately,Slightly,Extremely,No / not yet,22,Male,Slightly,Slightly,Until the end of high school,Rarely,No,Yes,Not applicable: not played yet,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,,4dbec2c0-b62d-4df7-a7f9-26768d5db115,fr,undefined
535,2018-04-24 14:32:02+00:00,A lot,A lot,Moderately,Slightly,No / not yet,33 ,Female,Moderately,A lot,Until bachelor's degree,Rarely,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,645c63c7-7855-4622-8f54-c28dc40456f7,fr,undefined
536,2018-04-24 14:45:01+00:00,Moderately,Moderately,Moderately,Moderately,I just played for the first time,,,,,,,,,Not applicable: not played yet,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,It generates green fluorescence,The bricks are not well-ordered,It generates antibiotic resistance,I don't know,It generates green fluorescence in presence of arabinose inducer,The bricks are not well-ordered,It generates antibiotic resistance,It makes it possible to move faster,"In front of the doors, when the GFP device is equipped",Nothing,I don't know,,8d1f1ec8-379e-4ec6-88ba-2fdc1d0989be,fr,undefined
537,2018-04-24 14:46:29+00:00,Moderately,Moderately,Moderately,Moderately,I just played for the first time,,,,,,,,,Not applicable: not played yet,Edit the DNA of the bacterium,I don't know,I don't know,I don't know,5,I don't know,2,1,I don't know,I don't know,I don't know,I don't know,3,2,I don't know,I don't know,The bricks are not well-ordered,It generates green fluorescence,It makes it possible to move faster,I don't know,I don't know,It generates green fluorescence in presence of arabinose inducer,It generates antibiotic resistance,It generates antibiotic resistance,"Under blue light, all the time",Flagella quickly disappear one by one,It produces nothing since it induces itself,,bedf10b3-dc09-4bed-be54-19d1cd7520d3,fr,undefined
538,2018-04-24 15:20:36+00:00,Slightly,Slightly,A lot,Extremely,No / not yet,23,Male,A lot,Slightly,Not even in middle school,Moderately,No,Yes,Not applicable: not played yet,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,None of these,I don't know,I don't know,I don't know,I don't know,4,1,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,,32f3be97-94fb-4a61-893a-8d60715c3513,fr,undefined
539,2018-04-24 15:22:40+00:00,A lot,A lot,Slightly,Extremely,No / not yet,39,Male,Not at all,Moderately,Until the end of middle school,Not at all,No,Yes,Not applicable: not played yet,I don't know,I don't know,Ampicillin,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,,8cf68358-747f-4351-8717-ba7933cb428b,fr,undefined
