,Timestamp,Are you interested in learning more about...Biology,Are you interested in learning more about...Synthetic biology,Are you interested in learning more about...Video games,Are you interested in learning more about...Engineering,Have you ever played Hero.Coli?,How old are you?,What is your gender?,Are you interested in video games?,Are you interested in biology?,How long have you studied biology?,Do you play video games?,"Have you ever heard about synthetic biology or BioBricks, outside of Hero.Coli?",Do you volunteer to contribute to our study by answering 9 more questions? (5 min),Did you enjoy playing the game?,"In order to modify the abilities of the bacterium, you have to...",What are BioBricks and devices?,Find the antibiotic:,Plasmid is...,Represents the end of a device... TER,Promoter is...,Represents the ability given... CDS,Terminator is...,Codes a protein... CDS,RBS is...,Can represent GFP... CDS,Coding Sequence is...,Controls when the device is active... PR,"Controls the level of expression, and thus how much the ability will be affected... RBS",Makes it possible to equip an additional device. PLASMID,Operator is... XXX,What does this device do? RBS:PCONS:FLHDC:TER XXX,What does this device do? PCONS:RBS:FLHDC:TER,What does this device do? PBAD:RBS:GFP:TER,What does this device do? PBAD:GFP:TBS:TER XXX,What does this device do? GFP:RBS:PCONS:TER XXX,What does this device do? PCONS:GFP:RBS:TER XXX,What does this device do? AMPR:RBS:PCONS:TER XXX,What does this device do? RBS:PCONS:AMPR:TER XXX,When does green fluorescence happen?,What happens when you unequip the movement device?,Last question. Next page only contains remarks.Guess: you have crafted a functional device containing an arabinose-induced promoter and an arabinose Coding Sequence (CDS). What will happen?,You can write down remarks here.,userId,Language,Temporality
363,2018-04-17 12:56:59+00:00,A lot,A lot,Extremely,A lot,No / not yet,42,Male,Extremely,A lot,Until the end of high school,Extremely,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d1aec857-1c6d-4329-bc72-74b1e2cf4b9b,fr,undefined
364,2018-04-17 12:58:18+00:00,Not at all,Not at all,Slightly,Not at all,No / not yet,22,Male,Slightly,Not at all,Until the end of middle school,Rarely,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cbd3ce09-90c0-40fa-aa21-de8a722075b2,fr,undefined
365,2018-04-17 13:05:30+00:00,Moderately,Moderately,A lot,Not at all,No / not yet,13,Male,A lot,Moderately,Until the end of middle school,A lot,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f05d7d6a-fb43-4441-b055-29f539904d24,fr,undefined
366,2018-04-17 13:05:50+00:00,Not at all,Not at all,Extremely,Slightly,No / not yet,11,Female,Extremely,Not at all,Not even in middle school,Extremely,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mettre des questions plus sur les jeux vidéos et un peu moins sur la biologie,079df34d-ce0e-4b19-941f-b81b10db38fc,fr,undefined
367,2018-04-17 13:26:57+00:00,Not at all,Not at all,Extremely,A lot,I just played for the first time,,,,,,,,,A bit,Edit the DNA of the bacterium,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,"Under blue light, all the time",The bacterium glows,I don't know,,079df34d-ce0e-4b19-941f-b81b10db38fc,fr,undefined
368,2018-04-17 13:30:48+00:00,Extremely,Extremely,Extremely,Extremely,I just played for the first time,,,,,,,,,A lot,Edit the DNA of the bacterium,DNA sequences,Ampicillin,None of these,I don't know,3,I don't know,1,4,2,I don't know,1,I don't know,2,5,I don't know,The bricks are not well-ordered,It makes it possible to move faster,It generates green fluorescence,It generates green fluorescence,The bricks are not well-ordered,The bricks are not well-ordered,The bricks are not well-ordered,The bricks are not well-ordered,"Under blue light, when the GFP device is equipped",Flagella quickly disappear one by one,I don't know,"c'etait bien sympas ! l'univers rappel le jeu ""Spore"" sans le coté création et un peut plus ""Puzzle games"" vraiment cool comme concept !",7a8ea59e-0205-458e-afc3-89c588ef7e8f,fr,undefined
369,2018-04-17 13:34:34+00:00,Moderately,Moderately,A lot,Moderately,No / not yet,17,Male,A lot,Slightly,Until the end of high school,A lot,"Yes, but I don't exactly know what it means",Yes,Not applicable: not played yet,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,,cee3fcf7-d49d-4889-9778-9ae768c39d82,fr,undefined
370,2018-04-17 14:03:07+00:00,Slightly,Not at all,Moderately,Slightly,No / not yet,12 ,Other,Slightly,Moderately,Not even in middle school,Moderately,No,Yes,Not applicable: not played yet,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,It generates green fluorescence in presence of arabinose inducer,It generates antibiotic resistance,It makes it possible to move faster,It generates green fluorescence,The bricks are not well-ordered,The bricks are not well-ordered,I don't know,"Under blue light, all the time",I don't know,It produces nothing since it induces itself,,e4ccc57d-4039-4ef0-98fe-283233bea8be,fr,undefined
371,2018-04-17 14:12:51+00:00,Moderately,Moderately,A lot,Not at all,I just played for the first time,,,,,,,,,Moderately,Edit the DNA of the bacterium,Proteins,Arabinose,2,1,1,I don't know,4,4,3,1,4,1,3,4,1,It generates green fluorescence,It generates green fluorescence in presence of arabinose inducer,It generates green fluorescence,It generates green fluorescence in presence of arabinose inducer,It generates green fluorescence,It makes it possible to move faster,It generates green fluorescence in presence of arabinose inducer,The bricks are not well-ordered,"Under blue light, when the GFP device is equipped",Flagella quickly disappear one by one,It produces nothing since it induces itself,,50b59e86-0802-4144-a23b-700a99855a00,fr,undefined
372,2018-04-17 14:15:58+00:00,Moderately,A lot,Extremely,Extremely,I just played for the first time,,,,,,,,,Moderately,Edit the DNA of the bacterium,DNA sequences,I don't know,None of these,None of these,2,None of these,1,3,None of these,None of these,None of these,None of these,None of these,5,None of these,The bricks are not well-ordered,It generates green fluorescence,It makes it possible to move faster,The bricks are not well-ordered,The bricks are not well-ordered,It generates antibiotic resistance,The bricks are not well-ordered,The bricks are not well-ordered,"Under blue light, when the GFP device is equipped",Flagella quickly disappear one by one,I don't know,,6627912f-da9b-4406-a119-7b92c53af450,fr,undefined
