"Timestamp","Are you interested in learning more about... [Biology]","Are you interested in learning more about... [Synthetic biology]","Are you interested in learning more about... [Video games]","Are you interested in learning more about... [Engineering]","Have you ever played Hero.Coli?","How old are you?"," [What is your gender?]"," [Are you interested in video games?]"," [Are you interested in biology?]"," [How long have you studied biology?]"," [Do you play video games?]"," [Have you ever heard about synthetic biology or BioBricks, outside of Hero.Coli?]","Do you volunteer to contribute to our study by answering 9 more questions? (5 min)"," [Did you enjoy playing the game?]"," [In order to modify the abilities of the bacterium, you have to...]"," [What are BioBricks and devices?]"," [Find the antibiotic:]","BioBricks: [Plasmid is...]","BioBricks: [Represents the end of a device...]","BioBricks: [Promoter is...]","BioBricks: [Represents the ability given...]","BioBricks: [Terminator is...]","BioBricks: [Codes a protein...]","BioBricks: [RBS is...]","BioBricks: [Can represent GFP...]","BioBricks: [Coding Sequence is...]","BioBricks: [Controls when the device is active...]","BioBricks: [Controls the level of expression, and thus how much the ability will be affected...]","BioBricks: [Makes it possible to equip an additional device.]","BioBricks: [Operator is...]"," [device 1]"," [device 2]"," [device 3]"," [device 4]"," [device 5]"," [device 6]"," [device 7]"," [device 8]"," [When does green fluorescence happen?]"," [What happens when you unequip the movement device?]","Last question. Next page only contains remarks. [Guess: you have crafted a functional device containing an arabinose-induced promoter and an arabinose Coding Sequence (CDS). What will happen?]","You can write down remarks here.","⚠ Do not edit"
"2018/04/22 3:11:57 PM GMT+2","A lot","A lot","Moderately","Moderately","No / not yet","35","Male","A lot","A lot","Until the end of middle school","Extremely","No","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","f843f81c-d0ec-4bbf-b005-b20d5a119889"
"2018/04/22 11:06:13 PM GMT+2","Moderately","A lot","A lot","A lot","No / not yet","35","Male","A lot","Moderately","Until the end of high school","Moderately","Yes, but I don't exactly know what it means","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","f39fc3cb-da54-4628-a4fa-26ea9739c1ff"
"2018/04/23 12:59:26 AM GMT+2","Not at all","Extremely","Slightly","Moderately","I just played for the first time","","","","","","","","","Not applicable: not played yet","Gather nanorobots","RNA sequences","Ampicillin","None of these","None of these","None of these","None of these","None of these","None of these","None of these","None of these","None of these","None of these","None of these","None of these","None of these","The bricks are not well-ordered","The bricks are not well-ordered","The bricks are not well-ordered","The bricks are not well-ordered","The bricks are not well-ordered","The bricks are not well-ordered","The bricks are not well-ordered","The bricks are not well-ordered","Under blue light, when the GFP device is equipped","The bacterium glows","It produces arabinose all the time","","c0c9be87-f78b-4acf-ac90-7e514a8ed58f"
"2018/04/23 1:36:27 PM GMT+2","A lot","A lot","Moderately","Extremely","No / not yet","27","Male","A lot","Extremely","Until the end of high school","A lot","Yes, but I don't exactly know what it means","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","336865b9-5f3b-4137-bc66-ee88dc4dd947"
"2018/04/23 7:00:52 PM GMT+2","Slightly","Not at all","Moderately","Slightly","I played it some time ago","26","Female","Slightly","Slightly","Until the end of middle school","Moderately","Yes, but I don't exactly know what it means","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7d4598f8-f391-4459-aadb-cb60ed38c6b0"
"2018/04/23 7:32:31 PM GMT+2","A lot","A lot","Moderately","Extremely","No / not yet","14","Male","Moderately","Moderately","Until the end of middle school","Moderately","Yes, but I don't exactly know what it means","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","kjldfalk","d95f06aa-fc7f-403a-bb1e-54f25afb9e37"
"2018/04/23 7:32:35 PM GMT+2","A lot","A lot","Moderately","Extremely","No / not yet","14","Male","Moderately","Moderately","Until the end of middle school","Moderately","Yes, but I don't exactly know what it means","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","kjldfalk","d95f06aa-fc7f-403a-bb1e-54f25afb9e37"
"2018/04/24 12:47:59 AM GMT+2","Extremely","A lot","A lot","Moderately","No / not yet","15","Female","A lot","A lot","Until the end of middle school","A lot","Yes, but I don't exactly know what it means","Yes","Not applicable: not played yet","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I do not know anything","2bd8c00c-bceb-4139-a50c-51b71c1f8d0f"
"2018/04/24 1:04:27 AM GMT+2","Extremely","A lot","Extremely","A lot","I just played for the first time","","","","","","","","","A bit","Edit the DNA of the bacterium","DNA sequences","Ampicillin","None of these","1","3","5","I don't know","None of these","4","4","5","2","3","4","2","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","Under blue light, when the GFP device is equipped","Flagella quickly disappear one by one","I don't know","it is a decent game I would just say the moving mechanics need some improvement , but other than the I think it is a fine program :)","2bd8c00c-bceb-4139-a50c-51b71c1f8d0f"
"2018/04/24 11:50:35 AM GMT+2","Extremely","Extremely","Extremely","Moderately","No / not yet","32","Female","A lot","Extremely","At least until master's degree","A lot","No","Yes","Not applicable: not played yet","I don't know","I don't know","I don't know","None of these","None of these","1","2","None of these","3","5","5","3","4","1","1","3","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","","8b1deb33-508e-4e02-9c96-599398db2346"
