"Timestamp","Are you interested in learning more about... [Biology]","Are you interested in learning more about... [Synthetic biology]","Are you interested in learning more about... [Video games]","Are you interested in learning more about... [Engineering]","Have you ever played Hero.Coli?","How old are you?"," [What is your gender?]"," [Are you interested in video games?]"," [Are you interested in biology?]"," [How long have you studied biology?]"," [Do you play video games?]"," [Have you ever heard about synthetic biology or BioBricks, outside of Hero.Coli?]","Do you volunteer to contribute to our study by answering 9 more questions? (5 min)"," [Did you enjoy playing the game?]"," [In order to modify the abilities of the bacterium, you have to...]"," [What are BioBricks and devices?]"," [Find the antibiotic:]","BioBricks: [Plasmid is...]","BioBricks: [Represents the end of a device...]","BioBricks: [Promoter is...]","BioBricks: [Represents the ability given...]","BioBricks: [Terminator is...]","BioBricks: [Codes a protein...]","BioBricks: [RBS is...]","BioBricks: [Can represent GFP...]","BioBricks: [Coding Sequence is...]","BioBricks: [Controls when the device is active...]","BioBricks: [Controls the level of expression, and thus how much the ability will be affected...]","BioBricks: [Makes it possible to equip an additional device.]","BioBricks: [Operator is...]"," [device 1]"," [device 2]"," [device 3]"," [device 4]"," [device 5]"," [device 6]"," [device 7]"," [device 8]"," [When does green fluorescence happen?]"," [What happens when you unequip the movement device?]","Last question. Next page only contains remarks. [Guess: you have crafted a functional device containing an arabinose-induced promoter and an arabinose Coding Sequence (CDS). What will happen?]","You can write down remarks here.","⚠ Do not edit"
"2018/04/07 4:32:53 AM GMT+2","Extremely","Extremely","Moderately","A lot","No / not yet","27","Male","Moderately","Extremely","Until bachelor's degree","Moderately","No","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","918e97fc-e852-4b88-8535-3b09e5f64b58"
"2018/04/07 4:46:19 AM GMT+2","Extremely","Extremely","Extremely","Extremely","No / not yet","7","Prefer not to say","Extremely","Extremely","Not even in middle school","Extremely","No","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9919be0e-71ce-4ebf-91a0-ae15dea1c747"
"2018/04/07 4:48:02 AM GMT+2","Extremely","Extremely","Extremely","Extremely","No / not yet","7","Prefer not to say","Extremely","Extremely","Not even in middle school","Extremely","No","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9919be0e-71ce-4ebf-91a0-ae15dea1c747"
"2018/04/07 3:03:21 PM GMT+2","A lot","A lot","A lot","A lot","No / not yet","18","Male","Moderately","Extremely","Until the end of high school","A lot","Yes, and I know what it means","Yes","Not applicable: not played yet","Edit the DNA of the bacterium","DNA sequences","Ampicillin","I don't know","I don't know","1","I don't know","I don't know","I don't know","4","I don't know","3","I don't know","I don't know","2","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","Under blue light, when the GFP device is equipped","I don't know","It produces nothing since it induces itself","","561cdce8-0cdf-4aee-ae5b-fd3356e75ffa"
"2018/04/07 3:13:57 PM GMT+2","Extremely","Extremely","Extremely","Extremely","No / not yet","18","Male","Extremely","Extremely","Until the end of high school","A lot","Yes, but I don't exactly know what it means","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3a895063-fcd5-444d-855f-64587fbb9704"
"2018/04/07 11:46:18 PM GMT+2","Moderately","Moderately","Moderately","Moderately","No / not yet","15","Female","Slightly","Slightly","Until the end of middle school","Rarely","No","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0c90a724-1622-4676-8d93-9181ac733a80"
"2018/04/08 5:53:12 AM GMT+2","A lot","Moderately","Extremely","Slightly","No / not yet","20","Male","A lot","A lot","Until the end of high school","A lot","Yes, but I don't exactly know what it means","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","51a7ef3f-3f0d-4f91-ae53-88d7eda61840"
"2018/04/08 8:00:48 AM GMT+2","A lot","A lot","Moderately","A lot","No / not yet","37","Female","Moderately","A lot","Until the end of high school","Moderately","No","Yes","Not applicable: not played yet","I don't know","I don't know","I don't know","None of these","1","None of these","4","1","5","None of these","2","5","None of these","4","2","None of these","The bricks are not well-ordered","It generates green fluorescence","It generates green fluorescence in presence of arabinose inducer","It generates antibiotic resistance","It generates green fluorescence","It generates green fluorescence in presence of arabinose inducer","It makes it possible to move faster","The bricks are not well-ordered","I don't know","I don't know","It produces more and more arabinose after being induced, because it induces itself","","5ba053c0-f156-4630-a9fe-c983f6735b5e"
"2018/04/08 4:56:58 PM GMT+2","A lot","A lot","A lot","A lot","I just played for the first time","","","","","","","","","Not applicable: not played yet","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","","9d4fc39a-512b-434a-8c9a-062386329a80"
"2018/04/08 5:55:50 PM GMT+2","Extremely","A lot","A lot","Moderately","No / not yet","25","Prefer not to say","A lot","Extremely","At least until master's degree","A lot","Yes, but I don't exactly know what it means","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","ebedd993-94a3-4647-b43a-9516b1639ca8"
"2018/04/08 6:30:07 PM GMT+2","A lot","Slightly","A lot","A lot","No / not yet","24","Prefer not to say","A lot","Moderately","Until the end of high school","Moderately","No","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","ea0bd51b-a9fd-41a1-b9c8-966739cd3252"
"2018/04/08 7:02:38 PM GMT+2","A lot","A lot","Moderately","Moderately","No / not yet","28","Female","Slightly","A lot","Until the end of high school","Rarely","No","Yes","Not applicable: not played yet","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","","62f601ab-d533-4451-a0e8-7f1545a3edde"
"2018/04/08 8:31:59 PM GMT+2","Slightly","Moderately","Extremely","Moderately","No / not yet","15","Male","Extremely","Slightly","Until the end of middle school","Extremely","No","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","56778554-f1e9-4135-97de-ff70a6badfa3"
"2018/04/08 10:38:53 PM GMT+2","Extremely","Extremely","Extremely","Extremely","No / not yet","9","Prefer not to say","Extremely","Extremely","Not even in middle school","Moderately","Yes, and I know what it means","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7dcbd49f-d55e-4665-8bba-f835bcbb0ba9"
"2018/04/09 2:18:15 AM GMT+2","Extremely","Extremely","A lot","A lot","No / not yet","17","Male","A lot","Extremely","Until the end of high school","Moderately","Yes, and I know what it means","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","a4f11759-eb3a-424a-b0c4-9df3878254bb"
"2018/04/09 12:50:47 PM GMT+2","Moderately","Moderately","Moderately","Moderately","No / not yet","40","Male","Moderately","Moderately","Until the end of high school","Not at all","Yes, but I don't exactly know what it means","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7be5fe32-4fd0-429d-8cb2-fcde6b14ac44"
"2018/04/09 4:39:55 PM GMT+2","Moderately","Not at all","Extremely","Moderately","No / not yet","18","Male","Extremely","A lot","Until the end of high school","A lot","Yes, but I don't exactly know what it means","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","e20f2079-4377-4b72-bf78-a54568e19f1e"
"2018/04/09 7:16:46 PM GMT+2","A lot","Extremely","Moderately","A lot","I played it some time ago","20","Male","Moderately","A lot","Until bachelor's degree","Rarely","Yes, and I know what it means","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7f3f4ac9-7df2-4e08-a4f8-88ede0989703"
"2018/04/10 2:50:20 AM GMT+2","Extremely","Extremely","Not at all","Not at all","No / not yet","15","Prefer not to say","Slightly","Extremely","Until the end of middle school","Moderately","Yes, and I know what it means","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","b1aa2ae8-226d-44f9-8113-731ac274f006"
"2018/04/10 3:59:05 PM GMT+2","Extremely","Extremely","Extremely","Extremely","No / not yet","23","Female","Extremely","A lot","Until the end of high school","A lot","No","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0c84b252-0384-4e01-a383-434bfa4809da"
"2018/04/10 6:20:43 PM GMT+2","Not at all","Not at all","Not at all","Not at all","No / not yet","6","Male","Extremely","A lot","Not even in middle school","Extremely","No","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40190ac5-c7b4-4b92-982d-018f1e8f46e0"
"2018/04/10 6:27:40 PM GMT+2","Moderately","Moderately","Slightly","Slightly","No / not yet","27","Female","Slightly","A lot","Until bachelor's degree","Rarely","No","Yes","Not applicable: not played yet","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","","33e5ad8b-240a-4498-97f0-34bba87e4e22"
"2018/04/11 12:17:33 AM GMT+2","A lot","A lot","Moderately","Slightly","No / not yet","24","Female","Not at all","Moderately","Until the end of high school","Rarely","No","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2960e8ec-42b7-4769-b1b7-a6fd576c7729"
"2018/04/11 2:56:06 AM GMT+2","Extremely","Extremely","A lot","A lot","No / not yet","18","Male","A lot","Extremely","Until the end of high school","Moderately","No","Yes","Not applicable: not played yet","Edit the DNA of the bacterium","I don't know","Ampicillin","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","Under blue light, when the GFP device is equipped","I don't know","It produces arabinose all the time","","8e8acb8f-c28c-4822-8209-781995b5067e"
"2018/04/11 3:33:59 AM GMT+2","Extremely","Extremely","A lot","A lot","I just played for the first time","","","","","","","","","Extremely","Edit the DNA of the bacterium","DNA sequences","Ampicillin","5","1","1","2","1","3","4","2","3","2","4","5","4","The bricks are not well-ordered","It makes it possible to move faster","It generates green fluorescence in presence of arabinose inducer","The bricks are not well-ordered","The bricks are not well-ordered","The bricks are not well-ordered","The bricks are not well-ordered","The bricks are not well-ordered","Under blue light, when the GFP device is equipped","Flagella quickly disappear one by one","It produces arabinose all the time","Very fun game, surprising to see how much I learned in a little amount of time.","8e8acb8f-c28c-4822-8209-781995b5067e"
"2018/04/11 4:08:20 AM GMT+2","Slightly","Not at all","Extremely","A lot","No / not yet","32","Male","Extremely","Moderately","Until the end of high school","Extremely","No","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","071217d3-ecdd-45ee-987c-010900629fe7"
"2018/04/11 4:10:26 AM GMT+2","Moderately","Slightly","Slightly","Slightly","I played it some time ago","91","Female","Not at all","Not at all","Until the end of middle school","Not at all","No","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","ok","31902fe1-9ae8-4bd3-b8e5-71286ab18eb7"
"2018/04/11 6:25:03 AM GMT+2","A lot","A lot","Slightly","Slightly","No / not yet","20","Female","Slightly","Slightly","At least until master's degree","Rarely","No","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","eca5873a-f404-4901-83b9-f5a77ba0ee58"
"2018/04/11 6:26:10 AM GMT+2","A lot","A lot","Slightly","Slightly","No / not yet","20","Female","Slightly","Slightly","At least until master's degree","Rarely","No","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","eca5873a-f404-4901-83b9-f5a77ba0ee58"
"2018/04/11 7:46:19 AM GMT+2","Not at all","Not at all","Not at all","Not at all","No / not yet","12","Female","Not at all","Not at all","Not even in middle school","Not at all","No","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","f683961f-ae3b-4c05-824b-9f54fbf06840"
"2018/04/11 3:50:12 PM GMT+2","A lot","Moderately","A lot","Moderately","No / not yet","12","Male","A lot","A lot","Until the end of middle school","A lot","Yes, but I don't exactly know what it means","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","e3fc1686-6802-4e36-9877-d1bb226a6f72"
"2018/04/11 3:56:28 PM GMT+2","A lot","Moderately","A lot","Moderately","No / not yet","23","Male","A lot","A lot","At least until master's degree","A lot","Yes, but I don't exactly know what it means","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","a5512e5b-08fa-41d8-bccb-699b7fb638fb"
"2018/04/12 10:05:46 AM GMT+2","Moderately","Moderately","Moderately","Moderately","No / not yet","48","Male","Moderately","Moderately","Until the end of high school","Moderately","Yes, and I know what it means","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2ad10897-b143-45f4-9a78-60ee4bcecc80"
"2018/04/12 7:10:58 PM GMT+2","A lot","A lot","Extremely","A lot","No / not yet","45","Male","Extremely","A lot","Until bachelor's degree","Extremely","Yes, but I don't exactly know what it means","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9c85179a-12f0-4c8b-910b-148ffffd9b08"
"2018/04/12 11:38:52 PM GMT+2","Slightly","Slightly","A lot","A lot","No / not yet","26","Male","Extremely","Slightly","Until the end of high school","Extremely","No","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","83f9205f-fd3e-4cf3-9b21-78268a0a804b"
"2018/04/12 11:42:12 PM GMT+2","Moderately","A lot","Extremely","A lot","No / not yet","28","Male","Extremely","A lot","Until the end of high school","A lot","No","Yes","Not applicable: not played yet","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","","86188001-5965-43c7-94a1-66da24609861"
"2018/04/13 12:05:37 AM GMT+2","Moderately","Moderately","Moderately","Moderately","No / not yet","18","Male","Moderately","Moderately","Until the end of high school","Moderately","Yes, but I don't exactly know what it means","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","967c3d6e-e07c-453f-b503-6b02bcdca701"
"2018/04/13 9:36:14 AM GMT+2","A lot","Moderately","A lot","A lot","No / not yet","30","Female","A lot","A lot","At least until master's degree","Moderately","No","Yes","Not applicable: not played yet","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I came for the video game and I strictly never heard about synthetic biology before. I hope I'll discover that field with the game and/or after","62f795aa-d6ea-4126-8330-8a832b2e2160"
"2018/04/13 2:22:29 PM GMT+2","Extremely","Extremely","Extremely","Extremely","No / not yet","17","Male","Extremely","Extremely","Until the end of high school","A lot","Yes, and I know what it means","Yes","Not applicable: not played yet","Edit the DNA of the bacterium","Amino-acids","Ampicillin","3","1","4","5","1","2","5","1","3","4","4","2","2","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","It produces more and more arabinose after being induced, because it induces itself","","65255d0c-a86a-4662-b238-05da98fc4c99"
"2018/04/13 3:14:18 PM GMT+2","Extremely","Extremely","Extremely","Extremely","I just played for the first time","","","","","","","","","Moderately","Edit the DNA of the bacterium","DNA sequences","Arabinose","5","1","2","3","1","2","4","3","3","2","4","5","3","The bricks are not well-ordered","It makes it possible to move faster","It generates green fluorescence in presence of arabinose inducer","The bricks are not well-ordered","The bricks are not well-ordered","The bricks are not well-ordered","The bricks are not well-ordered","The bricks are not well-ordered","Under blue light, when the GFP device is equipped","Flagella quickly disappear one by one","It produces more and more arabinose after being induced, because it induces itself","","65255d0c-a86a-4662-b238-05da98fc4c99"
"2018/04/13 3:26:38 PM GMT+2","A lot","Extremely","Extremely","Extremely","I just played for the first time","","","","","","","","","A lot","Gather nanorobots","DNA sequences","Arabinose","I don't know","1","I don't know","None of these","1","2","I don't know","I don't know","3","None of these","None of these","5","4","The bricks are not well-ordered","It makes it possible to move faster","It generates green fluorescence in presence of arabinose inducer","It generates green fluorescence","The bricks are not well-ordered","It generates green fluorescence in presence of arabinose inducer","The bricks are not well-ordered","The bricks are not well-ordered","Under blue light, when the GFP device is equipped","Nothing","It produces more and more arabinose after being induced, because it induces itself","","ee70d80e-995d-437b-9808-c6a34cfad9be"
"2018/04/13 5:53:39 PM GMT+2","A lot","A lot","Slightly","Slightly","No / not yet","24","Other","Moderately","A lot","Until the end of high school","Moderately","Yes, but I don't exactly know what it means","Yes","Not applicable: not played yet","I don't know","I don't know","Ampicillin","I don't know","None of these","3","5","None of these","5","I don't know","I don't know","5","4","5","2","4","The bricks are not well-ordered","The bricks are not well-ordered","The bricks are not well-ordered","The bricks are not well-ordered","It makes it possible to move faster","The bricks are not well-ordered","It generates antibiotic resistance","The bricks are not well-ordered","I don't know","Nothing","It produces more and more arabinose after being induced, because it induces itself","","471f59d7-4f60-4c59-b051-e0b60c02f136"
"2018/04/13 5:54:51 PM GMT+2","A lot","A lot","Slightly","Slightly","No / not yet","24","Other","Moderately","A lot","Until the end of high school","Moderately","Yes, but I don't exactly know what it means","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","b1b936ec-7250-4da5-8f7f-93c3465c682f"
"2018/04/13 9:52:25 PM GMT+2","Moderately","Moderately","Moderately","Moderately","No / not yet","17","Male","Extremely","A lot","Until the end of high school","Extremely","Yes, but I don't exactly know what it means","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","aee412f3-56ee-41b5-aa29-b6098546e29b"
"2018/04/13 10:41:39 PM GMT+2","Moderately","Slightly","Moderately","Moderately","No / not yet","16","Prefer not to say","Extremely","Extremely","At least until master's degree","Extremely","No","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","c68de80e-9f4a-47d0-9ba8-f16fad30515f"
"2018/04/13 11:08:21 PM GMT+2","Extremely","Extremely","Extremely","Extremely","No / not yet","13","Male","Extremely","Extremely","Until the end of middle school","Extremely","No","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8cc0a44c-f0fa-485b-8390-05b8eb4bbc37"
"2018/04/14 2:21:23 PM GMT+2","Moderately","Slightly","Extremely","Extremely","No / not yet","24","Male","Extremely","Moderately","Until the end of high school","A lot","No","Yes","Not applicable: not played yet","Edit the DNA of the bacterium","I don't know","Ampicillin","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","","3421dfc4-8085-4af7-bf73-a46e655fc2ca"
"2018/04/14 2:40:17 PM GMT+2","Moderately","Slightly","Extremely","Extremely","I just played for the first time","","","","","","","","","Moderately","Move the bacterium","DNA sequences","Ampicillin","I don't know","None of these","I don't know","3","None of these","I don't know","I don't know","3","I don't know","2","4","5","I don't know","The bricks are not well-ordered","It makes it possible to move faster","It generates green fluorescence in presence of arabinose inducer","The bricks are not well-ordered","The bricks are not well-ordered","The bricks are not well-ordered","The bricks are not well-ordered","The bricks are not well-ordered","Under blue light, when the GFP device is equipped","Flagella quickly disappear one by one","It produces more and more arabinose after being induced, because it induces itself","","3421dfc4-8085-4af7-bf73-a46e655fc2ca"
"2018/04/14 10:03:35 PM GMT+2","A lot","A lot","A lot","A lot","I played it some time ago","17","Male","A lot","Moderately","Until the end of high school","Moderately","Yes, but I don't exactly know what it means","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5665648b-534c-4cd1-81ea-03af85193523"
"2018/04/15 11:21:37 AM GMT+2","Extremely","A lot","Moderately","Moderately","No / not yet","29","Female","Moderately","Extremely","At least until master's degree","Rarely","No","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","e9b9f9a0-0472-4130-a940-9297f0507b20"
"2018/04/15 11:31:29 PM GMT+2","Extremely","A lot","Slightly","Slightly","No / not yet","32","Female","Slightly","Extremely","At least until master's degree","Rarely","Yes, but I don't exactly know what it means","Yes","Not applicable: not played yet","I don't know","Amino-acids","Ampicillin","I don't know","I don't know","I don't know","I don't know","1","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","","23681988-d605-4ed0-8f1c-f8759bced37a"
"2018/04/16 1:08:40 AM GMT+2","Moderately","Moderately","Moderately","Moderately","No / not yet","87","Female","Slightly","A lot","At least until master's degree","Not at all","No","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","b68e5dcc-3f99-41e4-adc4-c319e92cae1c"
"2018/04/16 5:57:17 PM GMT+2","Extremely","A lot","Moderately","Slightly","No / not yet","16","Female","Moderately","A lot","Not even in middle school","Moderately","No","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","61f5f86b-6af2-49f2-a7be-bfd97a75959e"
"2018/04/16 8:19:01 PM GMT+2","A lot","Extremely","A lot","Moderately","No / not yet","23","Female","Extremely","Extremely","At least until master's degree","A lot","Yes, and I know what it means","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4a4fb145-e85c-4d03-bedc-e39246f4320d"
"2018/04/16 8:33:22 PM GMT+2","Extremely","Extremely","Extremely","Extremely","No / not yet","21","Prefer not to say","Extremely","Extremely","At least until master's degree","Extremely","Yes, and I know what it means","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","218be7d4-2405-4ef3-b9c2-d9db28e210c8"
"2018/04/17 2:14:03 PM GMT+2","Extremely","Extremely","Extremely","Extremely","No / not yet","29","Female","Extremely","Extremely","Until the end of high school","Extremely","No","Yes","Not applicable: not played yet","Edit the DNA of the bacterium","I don't know","Ampicillin","I don't know","I don't know","I don't know","I don't know","1","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","Flagella quickly disappear one by one","I don't know","i found it very strange to have questions about the game when i never played it","f0a395fa-20c3-48e5-a928-ecfd7d2fb40a"
"2018/04/17 2:58:40 PM GMT+2","A lot","A lot","Extremely","A lot","No / not yet","42","Male","Extremely","A lot","Until the end of high school","A lot","No","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","d79be9fe-e617-4ce1-a141-d38971f6e9b4"
"2018/04/17 3:02:16 PM GMT+2","Not at all","Moderately","A lot","Moderately","No / not yet","13","Male","A lot","Moderately","Until the end of middle school","A lot","No","Yes","A lot","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","It generates green fluorescence","It generates green fluorescence in presence of arabinose inducer","It makes it possible to move faster","It makes it possible to move faster","It generates green fluorescence","It generates antibiotic resistance","The bricks are not well-ordered","It generates antibiotic resistance","In front of the doors, when the GFP device is equipped","The bacterium dies","I don't know","","50b59e86-0802-4144-a23b-700a99855a00"
"2018/04/17 3:26:35 PM GMT+2","A lot","A lot","A lot","A lot","I just played for the first time","","","","","","","","","Moderately","Edit the DNA of the bacterium","DNA sequences","Arabinose","3","None of these","2","2","None of these","1","2","I don't know","2","I don't know","I don't know","I don't know","2","It generates green fluorescence","It generates green fluorescence in presence of arabinose inducer","It generates green fluorescence","It generates antibiotic resistance","It makes it possible to move faster","It generates green fluorescence in presence of arabinose inducer","It makes it possible to move faster","It makes it possible to move faster","Under blue light, all the time","The bacterium glows","It is active only in arabinose clouds","interesting and so funny approach to discover a bit more about biology","d79be9fe-e617-4ce1-a141-d38971f6e9b4"
"2018/04/17 3:35:20 PM GMT+2","Moderately","A lot","Extremely","Extremely","No / not yet","19","Male","Extremely","Moderately","Until bachelor's degree","Extremely","No","Yes","Extremely","Gather nanorobots","I don't know","Ampicillin","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","Under blue light, all the time","I don't know","I don't know","","6627912f-da9b-4406-a119-7b92c53af450"
"2018/04/17 6:24:46 PM GMT+2","A lot","Moderately","A lot","Moderately","I just played for the first time","","","","","","","","","Moderately","Edit the DNA of the bacterium","DNA sequences","Ampicillin","I don't know","1","I don't know","I don't know","1","4","I don't know","I don't know","I don't know","3","4","5","2","The bricks are not well-ordered","It generates green fluorescence","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","Under blue light, when the GFP device is equipped","Nothing","It is active only in arabinose clouds","it is a nice game and its a good idea to teach with games but its easy to get stuck if you don't know when you can craft new things and good luck improving this game","cb03d106-69f5-4504-bd05-38c0fef5b63c"
"2018/04/18 10:24:10 AM GMT+2","A lot","A lot","A lot","A lot","No / not yet","30","Female","Moderately","A lot","Until bachelor's degree","Rarely","No","Yes","Not applicable: not played yet","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","","349758c7-dc37-48ec-ab28-c7ce31adfc1b"
"2018/04/18 1:08:48 PM GMT+2","Not at all","Not at all","Not at all","Not at all","No / not yet","0","Female","Not at all","Not at all","Not even in middle school","Not at all","No","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","test","578a414d-ecbd-475d-9053-6827054a38f0"
"2018/04/18 1:10:04 PM GMT+2","Not at all","Not at all","Not at all","Not at all","No / not yet","0","Female","Not at all","Not at all","Not even in middle school","Not at all","No","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","test","9c180d23-6142-476b-9acc-c842e30a2470"
"2018/04/18 1:25:16 PM GMT+2","Moderately","Moderately","Slightly","Moderately","I just played for the first time","","","","","","","","","Not applicable: not played yet","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","","3bce59e8-bf13-4a95-a6af-b6c959aa369e"
"2018/04/18 1:26:57 PM GMT+2","Moderately","Moderately","Moderately","Moderately","I just played for the first time","","","","","","","","","Not applicable: not played yet","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","","57de2b51-2d25-4e9a-935f-a112ef33843a"
"2018/04/18 3:14:51 PM GMT+2","Extremely","Extremely","Extremely","Extremely","No / not yet","23","Male","Extremely","Extremely","At least until master's degree","Moderately","Yes, and I know what it means","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","ca3c6d9a-5d8f-4333-93d6-bbc4b0c5e32e"
"2018/04/18 3:35:46 PM GMT+2","Moderately","Not at all","Slightly","Slightly","No / not yet","14","Male","Slightly","Moderately","Until the end of middle school","Moderately","No","Yes","Not applicable: not played yet","I don't know","I don't know","Ampicillin","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","doesn't work if you don't fill the extra 5 minutes on windows asus ux360cak chrome","884a5530-047a-4ff6-9237-784ccea05ea4"
